Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,01	8,15	5,87	0,00	6,84	0,00	5,78	0,00	7,03	0,00	6,35	0,00	9,81	0,00	7,88	0,00	5,96	0,00	6,69	0,00	13,92	0,00	6,26	0,00	9,32	0,00	7,74	0,00	8,93	0,00	8,66	0,00	5,81	0,00	7,50	0,00	5,38	0,00	8,16	0,00	9,94	0,00	7,79	0,00	7,20	0,00	6,97	0,00	3,75	0,00	5,85	0,00	8,79	0,00	6,95	0,00	6,32	0,00	8,34	0,00	7,69	0,00	7,41	0,00	6,10
7,01	8,15	5,87	0,02	6,84	0,02	5,78	0,02	7,03	0,02	6,35	0,02	9,82	0,02	7,88	0,02	5,96	0,02	6,69	0,02	13,92	0,02	6,26	0,02	9,32	0,02	7,74	0,02	8,93	0,02	8,66	0,02	5,81	0,02	7,50	0,02	5,38	0,02	8,16	0,02	9,94	0,02	7,79	0,02	7,20	0,02	6,97	0,02	3,75	0,02	5,85	0,02	8,79	0,02	6,95	0,02	6,32	0,02	8,34	0,02	7,69	0,02	7,41	0,02	6,10
7,01	8,15	5,87	0,03	6,84	0,03	5,78	0,03	7,03	0,03	6,35	0,03	9,82	0,03	7,88	0,03	5,96	0,03	6,69	0,03	13,92	0,03	6,26	0,03	9,32	0,03	7,74	0,03	8,93	0,03	8,66	0,03	5,81	0,03	7,50	0,03	5,38	0,03	8,16	0,03	9,94	0,03	7,79	0,03	7,20	0,03	6,97	0,03	3,76	0,03	5,85	0,03	8,79	0,03	6,95	0,03	6,32	0,03	8,33	0,03	7,69	0,03	7,42	0,03	6,11
7,01	8,15	5,87	0,05	6,85	0,05	5,78	0,05	7,03	0,05	6,35	0,05	9,82	0,05	7,88	0,05	5,96	0,05	6,68	0,05	13,90	0,05	6,26	0,05	9,32	0,05	7,74	0,05	8,93	0,05	8,66	0,05	5,81	0,05	7,49	0,05	5,38	0,05	8,17	0,05	9,93	0,05	7,79	0,05	7,20	0,05	6,97	0,05	3,77	0,05	5,85	0,05	8,79	0,05	6,95	0,05	6,32	0,05	8,33	0,05	7,69	0,05	7,42	0,05	6,11
7,01	8,15	5,87	0,07	6,87	0,07	5,78	0,07	7,03	0,07	6,35	0,07	9,83	0,07	7,88	0,07	5,96	0,07	6,67	0,07	13,88	0,07	6,27	0,07	9,32	0,07	7,74	0,07	8,93	0,07	8,65	0,07	5,81	0,07	7,49	0,07	5,38	0,07	8,17	0,07	9,93	0,07	7,79	0,07	7,20	0,07	6,96	0,07	3,78	0,07	5,86	0,07	8,79	0,07	6,95	0,07	6,32	0,07	8,33	0,07	7,70	0,07	7,42	0,07	6,11
7,00	8,14	5,86	0,08	6,88	0,08	5,79	0,08	7,03	0,08	6,35	0,08	9,84	0,08	7,88	0,08	5,96	0,08	6,67	0,08	13,86	0,08	6,27	0,08	9,32	0,08	7,74	0,08	8,93	0,08	8,65	0,08	5,81	0,08	7,49	0,08	5,37	0,08	8,17	0,08	9,93	0,08	7,79	0,08	7,19	0,08	6,96	0,08	3,79	0,08	5,86	0,08	8,79	0,08	6,95	0,08	6,31	0,08	8,32	0,08	7,70	0,08	7,42	0,08	6,13
7,00	8,14	5,86	0,10	6,89	0,10	5,79	0,10	7,03	0,10	6,35	0,10	9,85	0,10	7,89	0,10	5,96	0,10	6,66	0,10	13,83	0,10	6,27	0,10	9,32	0,10	7,73	0,10	8,92	0,10	8,64	0,10	5,81	0,10	7,48	0,10	5,37	0,10	8,17	0,10	9,93	0,10	7,79	0,10	7,19	0,10	6,96	0,10	3,79	0,10	5,87	0,10	8,79	0,10	6,96	0,10	6,31	0,10	8,31	0,10	7,70	0,10	7,42	0,10	6,16
7,00	8,14	5,86	0,12	6,90	0,12	5,80	0,12	7,02	0,12	6,34	0,12	9,86	0,12	7,89	0,12	5,95	0,12	6,65	0,12	13,80	0,12	6,26	0,12	9,31	0,12	7,73	0,12	8,92	0,12	8,63	0,12	5,81	0,12	7,48	0,12	5,36	0,12	8,17	0,12	9,93	0,12	7,78	0,12	7,19	0,12	6,96	0,12	3,80	0,12	5,87	0,12	8,79	0,12	6,96	0,12	6,31	0,12	8,31	0,12	7,70	0,12	7,43	0,12	6,18
6,99	8,13	5,85	0,13	6,92	0,13	5,81	0,13	7,02	0,13	6,34	0,13	9,87	0,13	7,89	0,13	5,94	0,13	6,64	0,13	13,77	0,13	6,25	0,13	9,31	0,13	7,73	0,13	8,91	0,13	8,62	0,13	5,81	0,13	7,47	0,13	5,35	0,13	8,17	0,13	9,92	0,13	7,78	0,13	7,19	0,13	6,97	0,13	3,81	0,13	5,88	0,13	8,81	0,13	6,96	0,13	6,31	0,13	8,30	0,13	7,71	0,13	7,43	0,13	6,21
6,99	8,13	5,84	0,15	6,94	0,15	5,83	0,15	7,02	0,15	6,34	0,15	9,89	0,15	7,89	0,15	5,93	0,15	6,64	0,15	13,74	0,15	6,24	0,15	9,31	0,15	7,73	0,15	8,91	0,15	8,61	0,15	5,81	0,15	7,47	0,15	5,35	0,15	8,18	0,15	9,92	0,15	7,78	0,15	7,19	0,15	6,97	0,15	3,82	0,15	5,89	0,15	8,82	0,15	6,96	0,15	6,30	0,15	8,29	0,15	7,71	0,15	7,45	0,15	6,23
