Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
9,35	11,61	7,09	0,00	12,91	0,00	9,57	0,00	11,97	0,00	8,89	0,00	15,14	0,00	9,35	0,00	7,42	0,00	8,64	0,00	19,49	0,00	8,60	0,00	10,94	0,00	10,03	0,00	10,01	0,00	11,31	0,00	8,49	0,00	11,85	0,00	6,29	0,00	11,71	0,00	14,19	0,00	16,51	0,00	8,64	0,00	8,61	0,00	8,85	0,00	16,44	0,00	13,79	0,00	9,50	0,00	17,10	0,00	11,85	0,00	10,33	0,00	10,13	0,00	9,93
9,35	11,61	7,09	0,02	12,91	0,02	9,57	0,02	11,97	0,02	8,89	0,02	15,14	0,02	9,35	0,02	7,42	0,02	8,64	0,02	19,49	0,02	8,60	0,02	10,94	0,02	10,03	0,02	10,01	0,02	11,31	0,02	8,49	0,02	11,85	0,02	6,29	0,02	11,71	0,02	14,19	0,02	16,51	0,02	8,65	0,02	8,61	0,02	8,85	0,02	16,44	0,02	13,80	0,02	9,50	0,02	17,10	0,02	11,85	0,02	10,34	0,02	10,14	0,02	9,93
9,35	11,61	7,09	0,03	12,90	0,03	9,57	0,03	11,97	0,03	8,89	0,03	15,14	0,03	9,35	0,03	7,42	0,03	8,64	0,03	19,48	0,03	8,60	0,03	10,94	0,03	10,03	0,03	10,01	0,03	11,31	0,03	8,49	0,03	11,85	0,03	6,29	0,03	11,71	0,03	14,19	0,03	16,51	0,03	8,65	0,03	8,61	0,03	8,85	0,03	16,44	0,03	13,80	0,03	9,50	0,03	17,10	0,03	11,85	0,03	10,35	0,03	10,14	0,03	9,94
9,35	11,61	7,09	0,05	12,90	0,05	9,57	0,05	11,97	0,05	8,89	0,05	15,15	0,05	9,35	0,05	7,42	0,05	8,64	0,05	19,48	0,05	8,61	0,05	10,88	0,05	10,02	0,05	10,01	0,05	11,30	0,05	8,49	0,05	11,85	0,05	6,29	0,05	11,71	0,05	14,19	0,05	16,50	0,05	8,66	0,05	8,61	0,05	8,85	0,05	16,44	0,05	13,81	0,05	9,50	0,05	17,10	0,05	11,85	0,05	10,36	0,05	10,15	0,05	9,95
9,35	11,61	7,09	0,07	12,89	0,07	9,57	0,07	11,97	0,07	8,88	0,07	15,16	0,07	9,35	0,07	7,41	0,07	8,65	0,07	19,47	0,07	8,61	0,07	10,81	0,07	10,00	0,07	10,00	0,07	11,30	0,07	8,49	0,07	11,85	0,07	6,30	0,07	11,72	0,07	14,19	0,07	16,50	0,07	8,66	0,07	8,61	0,07	8,85	0,07	16,44	0,07	13,81	0,07	9,51	0,07	17,10	0,07	11,85	0,07	10,39	0,07	10,16	0,07	10,00
9,35	11,61	7,09	0,08	12,88	0,08	9,57	0,08	11,97	0,08	8,88	0,08	15,17	0,08	9,35	0,08	7,40	0,08	8,65	0,08	19,46	0,08	8,61	0,08	10,74	0,08	9,99	0,08	10,00	0,08	11,29	0,08	8,49	0,08	11,84	0,08	6,30	0,08	11,72	0,08	14,19	0,08	16,51	0,08	8,67	0,08	8,62	0,08	8,85	0,08	16,43	0,08	13,82	0,08	9,51	0,08	17,10	0,08	11,85	0,08	10,42	0,08	10,17	0,08	10,05
9,35	11,61	7,09	0,10	12,86	0,10	9,57	0,10	11,97	0,10	8,87	0,10	15,18	0,10	9,35	0,10	7,40	0,10	8,65	0,10	19,45	0,10	8,62	0,10	10,68	0,10	9,98	0,10	10,00	0,10	11,28	0,10	8,48	0,10	11,84	0,10	6,30	0,10	11,73	0,10	14,19	0,10	16,51	0,10	8,68	0,10	8,63	0,10	8,85	0,10	16,43	0,10	13,84	0,10	9,51	0,10	17,09	0,10	11,85	0,10	10,45	0,10	10,19	0,10	10,10
9,35	11,61	7,09	0,12	12,85	0,12	9,57	0,12	11,96	0,12	8,86	0,12	15,20	0,12	9,35	0,12	7,39	0,12	8,66	0,12	19,43	0,12	8,61	0,12	10,62	0,12	9,96	0,12	9,97	0,12	11,27	0,12	8,48	0,12	11,84	0,12	6,31	0,12	11,73	0,12	14,19	0,12	16,52	0,12	8,68	0,12	8,64	0,12	8,85	0,12	16,43	0,12	13,85	0,12	9,52	0,12	17,09	0,12	11,85	0,12	10,50	0,12	10,21	0,12	10,16
9,35	11,61	7,08	0,13	12,83	0,13	9,56	0,13	11,96	0,13	8,85	0,13	15,22	0,13	9,35	0,13	7,38	0,13	8,66	0,13	19,41	0,13	8,60	0,13	10,57	0,13	9,94	0,13	9,93	0,13	11,26	0,13	8,48	0,13	11,84	0,13	6,31	0,13	11,74	0,13	14,19	0,13	16,52	0,13	8,69	0,13	8,65	0,13	8,85	0,13	16,42	0,13	13,87	0,13	9,52	0,13	17,08	0,13	11,85	0,13	10,55	0,13	10,29	0,13	10,22
9,34	11,60	7,08	0,15	12,82	0,15	9,56	0,15	11,96	0,15	8,85	0,15	15,24	0,15	9,34	0,15	7,36	0,15	8,67	0,15	19,39	0,15	8,59	0,15	10,51	0,15	9,93	0,15	9,90	0,15	11,25	0,15	8,48	0,15	11,83	0,15	6,32	0,15	11,75	0,15	14,20	0,15	16,52	0,15	8,69	0,15	8,67	0,15	8,86	0,15	16,42	0,15	13,89	0,15	9,52	0,15	17,08	0,15	11,85	0,15	10,61	0,15	10,37	0,15	10,28
9,34	11,60	7,08	0,17	12,80	0,17	9,56	0,17	11,96	0,17	8,84	0,17	15,26	0,17	9,34	0,17	7,35	0,17	8,68	0,17	19,37	0,17	8,59	0,17	10,46	0,17	9,91	0,17	9,87	0,17	11,24	0,17	8,47	0,17	11,83	0,17	6,32	0,17	11,76	0,17	14,21	0,17	16,53	0,17	8,70	0,17	8,68	0,17	8,87	0,17	16,42	0,17	13,91	0,17	9,53	0,17	17,07	0,17	11,85	0,17	10,67	0,17	10,45	0,17	10,34
9,33	11,59	7,08	0,18	12,78	0,18	9,56	0,18	11,95	0,18	8,82	0,18	15,29	0,18	9,33	0,18	7,34	0,18	8,68	0,18	19,31	0,18	8,58	0,18	10,42	0,18	9,89	0,18	9,84	0,18	11,19	0,18	8,47	0,18	11,82	0,18	6,33	0,18	11,77	0,18	14,22	0,18	16,53	0,18	8,70	0,18	8,69	0,18	8,88	0,18	16,41	0,18	13,94	0,18	9,54	0,18	17,07	0,18	11,85	0,18	10,74	0,18	10,53	0,18	10,40
9,33	11,59	7,07	0,20	12,76	0,20	9,56	0,20	11,95	0,20	8,81	0,20	15,32	0,20	9,33	0,20	7,32	0,20	8,69	0,20	19,25	0,20	8,58	0,20	10,39	0,20	9,88	0,20	9,81	0,20	11,13	0,20	8,47	0,20	11,82	0,20	6,33	0,20	11,78	0,20	14,23	0,20	16,53	0,20	8,70	0,20	8,70	0,20	8,88	0,20	16,40	0,20	13,97	0,20	9,54	0,20	17,06	0,20	11,85	0,20	10,87	0,20	10,61	0,20	10,47
9,32	11,59	7,06	0,22	12,71	0,22	9,56	0,22	11,94	0,22	8,80	0,22	15,35	0,22	9,32	0,22	7,31	0,22	8,70	0,22	19,19	0,22	8,57	0,22	10,35	0,22	9,86	0,22	9,77	0,22	11,08	0,22	8,47	0,22	11,81	0,22	6,33	0,22	11,80	0,22	14,24	0,22	16,53	0,22	8,71	0,22	8,71	0,22	8,89	0,22	16,40	0,22	14,00	0,22	9,55	0,22	17,05	0,22	11,85	0,22	11,01	0,22	10,69	0,22	10,54
9,32	11,58	7,06	0,23	12,66	0,23	9,56	0,23	11,94	0,23	8,78	0,23	15,39	0,23	9,31	0,23	7,29	0,23	8,71	0,23	19,13	0,23	8,57	0,23	10,32	0,23	9,84	0,23	9,74	0,23	11,03	0,23	8,47	0,23	11,81	0,23	6,34	0,23	11,82	0,23	14,25	0,23	16,54	0,23	8,71	0,23	8,73	0,23	8,90	0,23	16,41	0,23	14,03	0,23	9,56	0,23	17,04	0,23	11,85	0,23	11,15	0,23	10,78	0,23	10,62
9,31	11,58	7,05	0,25	12,61	0,25	9,57	0,25	11,93	0,25	8,76	0,25	15,43	0,25	9,30	0,25	7,27	0,25	8,69	0,25	19,07	0,25	8,57	0,25	10,29	0,25	9,83	0,25	9,71	0,25	10,98	0,25	8,44	0,25	11,80	0,25	6,34	0,25	11,84	0,25	14,26	0,25	16,54	0,25	8,72	0,25	8,74	0,25	8,91	0,25	16,41	0,25	14,07	0,25	9,56	0,25	17,04	0,25	11,85	0,25	11,30	0,25	10,87	0,25	10,69
9,32	11,59	7,05	0,27	12,56	0,27	9,57	0,27	11,92	0,27	8,75	0,27	15,46	0,27	9,29	0,27	7,25	0,27	8,67	0,27	19,00	0,27	8,56	0,27	10,26	0,27	9,81	0,27	9,67	0,27	10,93	0,27	8,43	0,27	11,80	0,27	6,36	0,27	11,87	0,27	14,27	0,27	16,54	0,27	8,72	0,27	8,75	0,27	8,92	0,27	16,42	0,27	14,11	0,27	9,57	0,27	17,03	0,27	11,89	0,27	11,45	0,27	10,96	0,27	10,77
9,32	11,60	7,04	0,28	12,57	0,28	9,56	0,28	11,92	0,28	8,73	0,28	15,50	0,28	9,28	0,28	7,23	0,28	8,66	0,28	18,93	0,28	8,56	0,28	10,23	0,28	9,79	0,28	9,64	0,28	10,87	0,28	8,41	0,28	11,79	0,28	6,37	0,28	11,89	0,28	14,28	0,28	16,55	0,28	8,72	0,28	8,77	0,28	8,93	0,28	16,43	0,28	14,15	0,28	9,58	0,28	17,02	0,28	11,92	0,28	11,60	0,28	11,05	0,28	10,85
9,32	11,60	7,03	0,30	12,58	0,30	9,55	0,30	11,91	0,30	8,71	0,30	15,55	0,30	9,26	0,30	7,20	0,30	8,64	0,30	18,86	0,30	8,56	0,30	10,20	0,30	9,78	0,30	9,61	0,30	10,82	0,30	8,39	0,30	11,78	0,30	6,39	0,30	11,92	0,30	14,29	0,30	16,55	0,30	8,72	0,30	8,78	0,30	8,94	0,30	16,44	0,30	14,20	0,30	9,59	0,30	16,99	0,30	11,96	0,30	11,76	0,30	11,14	0,30	10,94
9,31	11,59	7,03	0,32	12,59	0,32	9,54	0,32	11,91	0,32	8,69	0,32	15,59	0,32	9,25	0,32	7,17	0,32	8,62	0,32	18,78	0,32	8,56	0,32	10,18	0,32	9,76	0,32	9,57	0,32	10,76	0,32	8,37	0,32	11,72	0,32	6,41	0,32	11,95	0,32	14,30	0,32	16,55	0,32	8,73	0,32	8,79	0,32	8,94	0,32	16,44	0,32	14,26	0,32	9,60	0,32	16,97	0,32	11,99	0,32	11,92	0,32	11,24	0,32	11,03
9,30	11,58	7,02	0,33	12,61	0,33	9,53	0,33	11,90	0,33	8,68	0,33	15,63	0,33	9,24	0,33	7,14	0,33	8,60	0,33	18,71	0,33	8,56	0,33	10,16	0,33	9,75	0,33	9,54	0,33	10,71	0,33	8,35	0,33	11,67	0,33	6,43	0,33	11,99	0,33	14,31	0,33	16,55	0,33	8,73	0,33	8,81	0,33	8,95	0,33	16,45	0,33	14,31	0,33	9,61	0,33	16,99	0,33	12,02	0,33	12,08	0,33	11,34	0,33	11,11
9,29	11,57	7,02	0,35	12,63	0,35	9,53	0,35	11,88	0,35	8,66	0,35	15,68	0,35	9,22	0,35	7,10	0,35	8,59	0,35	18,63	0,35	8,56	0,35	10,14	0,35	9,73	0,35	9,50	0,35	10,65	0,35	8,33	0,35	11,62	0,35	6,46	0,35	12,03	0,35	14,32	0,35	16,56	0,35	8,74	0,35	8,82	0,35	8,96	0,35	16,45	0,35	14,37	0,35	9,62	0,35	17,01	0,35	12,06	0,35	12,25	0,35	11,44	0,35	11,21
9,28	11,56	7,01	0,37	12,65	0,37	9,53	0,37	11,86	0,37	8,64	0,37	15,73	0,37	9,21	0,37	7,07	0,37	8,57	0,37	18,55	0,37	8,56	0,37	10,12	0,37	9,72	0,37	9,47	0,37	10,60	0,37	8,32	0,37	11,57	0,37	6,48	0,37	12,07	0,37	14,33	0,37	16,56	0,37	8,74	0,37	8,84	0,37	8,96	0,37	16,46	0,37	14,43	0,37	9,64	0,37	17,03	0,37	12,09	0,37	12,42	0,37	11,54	0,37	11,30
9,27	11,55	6,98	0,38	12,62	0,38	9,53	0,38	11,84	0,38	8,62	0,38	15,78	0,38	9,18	0,38	7,03	0,38	8,55	0,38	18,47	0,38	8,56	0,38	10,10	0,38	9,70	0,38	9,43	0,38	10,54	0,38	8,30	0,38	11,53	0,38	6,47	0,38	12,11	0,38	14,34	0,38	16,56	0,38	8,75	0,38	8,85	0,38	8,97	0,38	16,46	0,38	14,48	0,38	9,65	0,38	17,05	0,38	12,12	0,38	12,60	0,38	11,65	0,38	11,39
9,25	11,54	6,96	0,40	12,60	0,40	9,54	0,40	11,83	0,40	8,61	0,40	15,83	0,40	9,16	0,40	6,99	0,40	8,53	0,40	18,38	0,40	8,56	0,40	10,08	0,40	9,69	0,40	9,39	0,40	10,48	0,40	8,28	0,40	11,48	0,40	6,46	0,40	12,16	0,40	14,35	0,40	16,57	0,40	8,75	0,40	8,87	0,40	8,98	0,40	16,47	0,40	14,54	0,40	9,70	0,40	17,07	0,40	12,15	0,40	12,78	0,40	11,76	0,40	11,49
9,23	11,53	6,93	0,42	12,57	0,42	9,54	0,42	11,85	0,42	8,58	0,42	15,88	0,42	9,13	0,42	6,95	0,42	8,51	0,42	18,30	0,42	8,56	0,42	10,07	0,42	9,67	0,42	9,36	0,42	10,42	0,42	8,28	0,42	11,44	0,42	6,45	0,42	12,21	0,42	14,35	0,42	16,57	0,42	8,76	0,42	8,88	0,42	8,98	0,42	16,47	0,42	14,60	0,42	9,75	0,42	17,08	0,42	12,17	0,42	12,97	0,42	11,87	0,42	11,59
9,21	11,52	6,90	0,43	12,55	0,43	9,55	0,43	11,88	0,43	8,56	0,43	15,94	0,43	9,10	0,43	6,91	0,43	8,49	0,43	18,22	0,43	8,56	0,43	10,06	0,43	9,65	0,43	9,32	0,43	10,36	0,43	8,27	0,43	11,40	0,43	6,45	0,43	12,25	0,43	14,35	0,43	16,58	0,43	8,76	0,43	8,90	0,43	8,99	0,43	16,48	0,43	14,66	0,43	9,80	0,43	17,10	0,43	12,20	0,43	13,16	0,43	11,98	0,43	11,69
9,19	11,51	6,88	0,45	12,52	0,45	9,54	0,45	11,90	0,45	8,53	0,45	15,94	0,45	9,08	0,45	6,87	0,45	8,46	0,45	18,14	0,45	8,56	0,45	10,04	0,45	9,64	0,45	9,28	0,45	10,29	0,45	8,27	0,45	11,35	0,45	6,44	0,45	12,30	0,45	14,36	0,45	16,58	0,45	8,77	0,45	8,91	0,45	8,99	0,45	16,49	0,45	14,72	0,45	9,84	0,45	17,11	0,45	12,23	0,45	13,36	0,45	12,09	0,45	11,79
9,18	11,50	6,85	0,47	12,50	0,47	9,54	0,47	11,93	0,47	8,51	0,47	15,94	0,47	9,05	0,47	6,83	0,47	8,44	0,47	18,05	0,47	8,57	0,47	10,03	0,47	9,62	0,47	9,24	0,47	10,23	0,47	8,26	0,47	11,31	0,47	6,44	0,47	12,30	0,47	14,36	0,47	16,58	0,47	8,77	0,47	8,93	0,47	9,00	0,47	16,49	0,47	14,84	0,47	9,89	0,47	17,12	0,47	12,26	0,47	13,56	0,47	12,21	0,47	11,90
