Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
16,71	22,18	11,24	0,00	23,93	0,00	12,89	0,00	19,09	0,00	10,25	0,00	25,02	0,00	12,08	0,00	11,95	0,00	14,55	0,00	23,42	0,00	10,52	0,00	18,13	0,00	13,21	0,00	14,19	0,00	16,95	0,00	10,44	0,00	24,23	0,00	12,80	0,00	26,14	0,00	25,62	0,00	24,28	0,00	15,25	0,00	18,67	0,00	9,50	0,00	23,71	0,00	-999,0	0,00	16,83	0,00	29,18	0,00	22,51	0,00	24,17	0,00	16,22	0,00	19,76
16,71	22,18	11,24	0,02	23,93	0,02	12,89	0,02	19,09	0,02	10,25	0,02	25,02	0,02	12,08	0,02	11,95	0,02	14,55	0,02	23,42	0,02	10,53	0,02	18,13	0,02	13,21	0,02	14,18	0,02	16,95	0,02	10,44	0,02	24,23	0,02	12,80	0,02	26,14	0,02	25,62	0,02	24,28	0,02	15,25	0,02	18,67	0,02	9,50	0,02	23,71	0,02	-999,0	0,02	16,83	0,02	29,17	0,02	22,51	0,02	24,17	0,02	16,22	0,02	19,76
17,69	23,40	11,98	0,03	23,89	0,03	12,89	0,03	19,08	0,03	10,25	0,03	25,03	0,03	12,08	0,03	11,94	0,03	14,55	0,03	23,42	0,03	10,53	0,03	18,13	0,03	13,21	0,03	14,13	0,03	16,94	0,03	10,44	0,03	24,23	0,03	-999,0	0,03	26,14	0,03	25,62	0,03	24,29	0,03	15,25	0,03	18,67	0,03	9,50	0,03	23,70	0,03	-999,0	0,03	16,83	0,03	29,17	0,03	22,51	0,03	-999,0	0,03	16,23	0,03	19,77
17,69	23,40	11,98	0,05	23,86	0,05	12,89	0,05	19,08	0,05	10,25	0,05	25,03	0,05	12,08	0,05	11,94	0,05	14,55	0,05	23,42	0,05	10,53	0,05	18,13	0,05	13,22	0,05	14,08	0,05	16,93	0,05	10,44	0,05	24,23	0,05	-999,0	0,05	26,13	0,05	25,62	0,05	24,30	0,05	15,25	0,05	18,67	0,05	9,50	0,05	23,70	0,05	-999,0	0,05	16,83	0,05	29,17	0,05	22,51	0,05	-999,0	0,05	16,25	0,05	19,78
17,69	23,40	11,98	0,07	23,83	0,07	12,89	0,07	19,07	0,07	10,26	0,07	25,04	0,07	12,08	0,07	11,94	0,07	14,55	0,07	23,41	0,07	10,54	0,07	18,14	0,07	13,19	0,07	14,03	0,07	16,92	0,07	10,44	0,07	24,23	0,07	-999,0	0,07	26,13	0,07	25,63	0,07	24,31	0,07	15,25	0,07	18,66	0,07	9,50	0,07	23,69	0,07	-999,0	0,07	16,83	0,07	29,16	0,07	22,51	0,07	-999,0	0,07	16,27	0,07	19,80
17,69	23,40	11,98	0,08	23,79	0,08	12,89	0,08	19,07	0,08	10,26	0,08	25,05	0,08	12,09	0,08	11,93	0,08	14,55	0,08	23,41	0,08	10,55	0,08	18,14	0,08	13,17	0,08	13,97	0,08	16,90	0,08	10,44	0,08	24,22	0,08	-999,0	0,08	26,11	0,08	25,65	0,08	24,33	0,08	15,25	0,08	18,66	0,08	9,50	0,08	23,67	0,08	-999,0	0,08	16,83	0,08	29,16	0,08	22,51	0,08	-999,0	0,08	16,30	0,08	19,82
17,68	23,39	11,97	0,10	23,75	0,10	12,88	0,10	19,06	0,10	10,27	0,10	25,07	0,10	12,09	0,10	11,92	0,10	14,55	0,10	23,40	0,10	10,55	0,10	18,14	0,10	13,15	0,10	13,92	0,10	16,84	0,10	10,43	0,10	24,20	0,10	-999,0	0,10	26,08	0,10	25,66	0,10	24,34	0,10	15,26	0,10	18,66	0,10	9,50	0,10	23,66	0,10	-999,0	0,10	16,83	0,10	29,15	0,10	22,51	0,10	-999,0	0,10	16,34	0,10	19,85
17,68	23,38	11,97	0,12	23,71	0,12	12,88	0,12	19,05	0,12	10,27	0,12	25,08	0,12	12,09	0,12	11,92	0,12	14,55	0,12	23,39	0,12	10,57	0,12	18,14	0,12	13,12	0,12	13,86	0,12	16,78	0,12	10,43	0,12	24,19	0,12	-999,0	0,12	26,06	0,12	25,67	0,12	24,35	0,12	15,27	0,12	18,65	0,12	9,50	0,12	23,65	0,12	-999,0	0,12	16,83	0,12	29,14	0,12	22,51	0,12	-999,0	0,12	16,38	0,12	19,89
17,67	23,38	11,97	0,13	23,67	0,13	12,87	0,13	19,04	0,13	10,28	0,13	25,10	0,13	12,09	0,13	11,91	0,13	14,56	0,13	23,38	0,13	10,58	0,13	18,15	0,13	13,10	0,13	13,81	0,13	16,72	0,13	10,43	0,13	24,17	0,13	-999,0	0,13	26,05	0,13	25,68	0,13	24,36	0,13	15,28	0,13	18,65	0,13	9,51	0,13	23,63	0,13	-999,0	0,13	16,83	0,13	29,12	0,13	22,52	0,13	-999,0	0,13	16,43	0,13	19,93
17,66	23,36	11,96	0,15	23,63	0,15	12,86	0,15	19,02	0,15	10,28	0,15	25,12	0,15	12,09	0,15	11,89	0,15	14,56	0,15	23,37	0,15	10,60	0,15	18,10	0,15	13,08	0,15	13,75	0,15	16,65	0,15	10,43	0,15	24,15	0,15	-999,0	0,15	26,05	0,15	25,68	0,15	24,37	0,15	15,28	0,15	18,64	0,15	9,51	0,15	23,61	0,15	-999,0	0,15	16,83	0,15	29,10	0,15	22,52	0,15	-999,0	0,15	16,48	0,15	19,98
