Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,17	5,93	4,41	0,00	3,89	0,00	-999,0	0,00	4,64	0,00	-999,0	0,00	5,80	0,00	4,56	0,00	4,37	0,00	-999,0	0,00	8,59	0,00	4,83	0,00	4,09	0,00	5,58	0,00	4,53	0,00	5,63	0,00	4,69	0,00	6,51	0,00	5,02	0,00	6,18	0,00	7,97	0,00	8,38	0,00	6,18	0,00	6,53	0,00	4,77	0,00	5,56	0,00	4,96	0,00	5,89	0,00	6,23	0,00	5,39	0,00	5,23	0,00	5,63	0,00	4,72
5,17	5,93	4,41	0,02	3,89	0,02	-999,0	0,02	4,64	0,02	-999,0	0,02	5,80	0,02	4,56	0,02	4,37	0,02	-999,0	0,02	8,59	0,02	4,83	0,02	4,09	0,02	5,58	0,02	4,53	0,02	5,63	0,02	4,69	0,02	6,51	0,02	5,02	0,02	6,18	0,02	7,97	0,02	8,38	0,02	6,18	0,02	6,53	0,02	4,77	0,02	5,56	0,02	4,96	0,02	5,89	0,02	6,23	0,02	5,39	0,02	5,24	0,02	5,63	0,02	4,72
5,37	6,09	4,65	0,03	3,89	0,03	-999,0	0,03	4,64	0,03	-999,0	0,03	5,80	0,03	4,57	0,03	-999,0	0,03	-999,0	0,03	8,59	0,03	4,83	0,03	4,09	0,03	5,59	0,03	4,53	0,03	5,63	0,03	4,68	0,03	6,51	0,03	5,02	0,03	6,18	0,03	7,97	0,03	8,38	0,03	6,18	0,03	6,53	0,03	4,77	0,03	5,56	0,03	4,96	0,03	5,89	0,03	6,23	0,03	5,39	0,03	5,25	0,03	5,63	0,03	4,72
5,37	6,08	4,66	0,05	3,89	0,05	-999,0	0,05	4,65	0,05	-999,0	0,05	5,80	0,05	4,57	0,05	-999,0	0,05	-999,0	0,05	8,58	0,05	4,83	0,05	4,09	0,05	5,59	0,05	4,53	0,05	5,62	0,05	4,68	0,05	6,50	0,05	5,02	0,05	6,18	0,05	7,97	0,05	8,38	0,05	6,18	0,05	6,53	0,05	4,77	0,05	5,56	0,05	4,96	0,05	5,89	0,05	6,23	0,05	5,39	0,05	5,25	0,05	5,63	0,05	4,72
5,37	6,08	4,65	0,07	3,90	0,07	-999,0	0,07	4,65	0,07	-999,0	0,07	5,80	0,07	4,57	0,07	-999,0	0,07	-999,0	0,07	8,58	0,07	4,83	0,07	4,09	0,07	5,59	0,07	4,53	0,07	5,62	0,07	4,68	0,07	6,50	0,07	5,01	0,07	6,18	0,07	7,97	0,07	8,38	0,07	6,18	0,07	6,52	0,07	4,77	0,07	5,56	0,07	4,96	0,07	5,89	0,07	6,23	0,07	5,39	0,07	5,26	0,07	5,63	0,07	4,72
5,37	6,08	4,65	0,08	3,90	0,08	-999,0	0,08	4,65	0,08	-999,0	0,08	5,79	0,08	4,57	0,08	-999,0	0,08	-999,0	0,08	8,58	0,08	4,83	0,08	4,09	0,08	5,59	0,08	4,53	0,08	5,62	0,08	4,68	0,08	6,49	0,08	5,01	0,08	6,18	0,08	7,97	0,08	8,38	0,08	6,18	0,08	6,52	0,08	4,77	0,08	5,56	0,08	4,96	0,08	5,89	0,08	6,22	0,08	5,39	0,08	5,27	0,08	5,63	0,08	4,72
5,36	6,07	4,66	0,10	3,90	0,10	-999,0	0,10	4,65	0,10	-999,0	0,10	5,78	0,10	4,57	0,10	-999,0	0,10	-999,0	0,10	8,57	0,10	4,83	0,10	4,09	0,10	5,59	0,10	4,53	0,10	5,61	0,10	4,67	0,10	6,48	0,10	5,01	0,10	6,19	0,10	7,97	0,10	8,38	0,10	6,18	0,10	6,52	0,10	4,77	0,10	5,56	0,10	4,96	0,10	5,89	0,10	6,22	0,10	5,39	0,10	5,28	0,10	5,64	0,10	4,72
5,36	6,06	4,66	0,12	3,91	0,12	-999,0	0,12	4,66	0,12	-999,0	0,12	5,77	0,12	4,58	0,12	-999,0	0,12	-999,0	0,12	8,57	0,12	4,84	0,12	4,09	0,12	5,60	0,12	4,53	0,12	5,60	0,12	4,67	0,12	6,47	0,12	5,01	0,12	6,19	0,12	7,97	0,12	8,37	0,12	6,18	0,12	6,51	0,12	4,77	0,12	5,55	0,12	4,95	0,12	5,88	0,12	6,21	0,12	5,39	0,12	5,29	0,12	5,65	0,12	4,72
5,36	6,06	4,66	0,13	3,91	0,13	-999,0	0,13	4,66	0,13	-999,0	0,13	5,76	0,13	4,58	0,13	-999,0	0,13	-999,0	0,13	8,56	0,13	4,84	0,13	4,09	0,13	5,60	0,13	4,53	0,13	5,59	0,13	4,67	0,13	6,46	0,13	5,00	0,13	6,19	0,13	7,97	0,13	8,37	0,13	6,18	0,13	6,51	0,13	4,77	0,13	5,55	0,13	4,95	0,13	5,88	0,13	6,20	0,13	5,39	0,13	5,30	0,13	5,65	0,13	4,71
5,35	6,05	4,66	0,15	3,92	0,15	-999,0	0,15	4,66	0,15	-999,0	0,15	5,75	0,15	4,58	0,15	-999,0	0,15	-999,0	0,15	8,55	0,15	4,84	0,15	4,10	0,15	5,60	0,15	4,53	0,15	5,58	0,15	4,66	0,15	6,45	0,15	4,99	0,15	6,19	0,15	7,97	0,15	8,37	0,15	6,18	0,15	6,50	0,15	4,78	0,15	5,55	0,15	4,95	0,15	5,88	0,15	6,20	0,15	5,39	0,15	5,31	0,15	5,66	0,15	4,71
5,34	6,04	4,65	0,17	3,92	0,17	-999,0	0,17	4,66	0,17	-999,0	0,17	5,75	0,17	4,58	0,17	-999,0	0,17	-999,0	0,17	8,54	0,17	4,84	0,17	4,10	0,17	5,60	0,17	4,52	0,17	5,57	0,17	4,66	0,17	6,44	0,17	4,97	0,17	6,19	0,17	7,97	0,17	8,36	0,17	6,18	0,17	6,50	0,17	4,78	0,17	5,55	0,17	4,95	0,17	5,87	0,17	6,20	0,17	5,39	0,17	5,32	0,17	5,66	0,17	4,71
5,34	6,03	4,65	0,18	3,93	0,18	-999,0	0,18	4,67	0,18	-999,0	0,18	5,73	0,18	4,59	0,18	-999,0	0,18	-999,0	0,18	8,53	0,18	4,84	0,18	4,10	0,18	5,61	0,18	4,52	0,18	5,56	0,18	4,65	0,18	6,43	0,18	4,96	0,18	6,19	0,18	7,96	0,18	8,36	0,18	6,17	0,18	6,49	0,18	4,78	0,18	5,55	0,18	4,94	0,18	5,87	0,18	6,20	0,18	5,39	0,18	5,32	0,18	5,67	0,18	4,71
5,34	6,02	4,65	0,20	3,94	0,20	-999,0	0,20	4,67	0,20	-999,0	0,20	5,72	0,20	4,60	0,20	-999,0	0,20	-999,0	0,20	8,52	0,20	4,85	0,20	4,10	0,20	5,61	0,20	4,52	0,20	5,54	0,20	4,64	0,20	6,42	0,20	4,95	0,20	6,18	0,20	7,96	0,20	8,35	0,20	6,17	0,20	6,48	0,20	4,78	0,20	5,55	0,20	4,94	0,20	5,87	0,20	6,20	0,20	5,38	0,20	5,33	0,20	5,67	0,20	4,71
5,33	6,01	4,65	0,22	3,96	0,22	-999,0	0,22	4,67	0,22	-999,0	0,22	5,71	0,22	4,60	0,22	-999,0	0,22	-999,0	0,22	8,51	0,22	4,85	0,22	4,11	0,22	5,61	0,22	4,51	0,22	5,53	0,22	4,64	0,22	6,41	0,22	4,94	0,22	6,18	0,22	7,95	0,22	8,35	0,22	6,17	0,22	6,48	0,22	4,78	0,22	5,54	0,22	4,94	0,22	5,87	0,22	6,20	0,22	5,38	0,22	5,34	0,22	5,67	0,22	4,71
5,33	6,00	4,65	0,23	3,97	0,23	-999,0	0,23	4,67	0,23	-999,0	0,23	5,70	0,23	4,61	0,23	-999,0	0,23	-999,0	0,23	8,49	0,23	4,85	0,23	4,11	0,23	5,62	0,23	4,51	0,23	5,51	0,23	4,63	0,23	6,39	0,23	4,93	0,23	6,18	0,23	7,95	0,23	8,34	0,23	6,17	0,23	6,47	0,23	4,78	0,23	5,54	0,23	4,93	0,23	5,87	0,23	6,19	0,23	5,37	0,23	5,35	0,23	5,67	0,23	4,71
5,32	5,99	4,65	0,25	3,99	0,25	-999,0	0,25	4,67	0,25	-999,0	0,25	5,68	0,25	4,62	0,25	-999,0	0,25	-999,0	0,25	8,48	0,25	4,86	0,25	4,11	0,25	5,62	0,25	4,51	0,25	5,50	0,25	4,62	0,25	6,38	0,25	4,91	0,25	6,17	0,25	7,95	0,25	8,33	0,25	6,16	0,25	6,46	0,25	4,77	0,25	5,54	0,25	4,93	0,25	5,87	0,25	6,18	0,25	5,36	0,25	5,36	0,25	5,67	0,25	4,71
5,32	5,98	4,65	0,27	4,00	0,27	-999,0	0,27	4,67	0,27	-999,0	0,27	5,67	0,27	4,63	0,27	-999,0	0,27	-999,0	0,27	8,46	0,27	4,86	0,27	4,11	0,27	5,62	0,27	4,51	0,27	5,48	0,27	4,62	0,27	6,37	0,27	4,90	0,27	6,17	0,27	7,93	0,27	8,33	0,27	6,16	0,27	6,45	0,27	4,77	0,27	5,54	0,27	4,93	0,27	5,87	0,27	6,18	0,27	5,36	0,27	5,36	0,27	5,67	0,27	4,71
5,31	5,96	4,65	0,28	4,02	0,28	-999,0	0,28	4,67	0,28	-999,0	0,28	5,66	0,28	4,64	0,28	-999,0	0,28	-999,0	0,28	8,44	0,28	4,87	0,28	4,12	0,28	5,62	0,28	4,50	0,28	5,47	0,28	4,61	0,28	6,35	0,28	4,89	0,28	6,16	0,28	7,91	0,28	8,32	0,28	6,16	0,28	6,44	0,28	4,77	0,28	5,54	0,28	4,93	0,28	5,87	0,28	6,17	0,28	5,35	0,28	5,37	0,28	5,67	0,28	4,71
5,30	5,95	4,64	0,30	4,04	0,30	-999,0	0,30	4,67	0,30	-999,0	0,30	5,64	0,30	4,64	0,30	-999,0	0,30	-999,0	0,30	8,42	0,30	4,87	0,30	4,12	0,30	5,62	0,30	4,50	0,30	5,45	0,30	4,60	0,30	6,34	0,30	4,87	0,30	6,16	0,30	7,90	0,30	8,31	0,30	6,15	0,30	6,43	0,30	4,77	0,30	5,53	0,30	4,93	0,30	5,87	0,30	6,16	0,30	5,34	0,30	5,38	0,30	5,67	0,30	4,71
5,29	5,93	4,64	0,32	4,06	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	5,63	0,32	4,65	0,32	-999,0	0,32	-999,0	0,32	8,39	0,32	4,88	0,32	4,11	0,32	5,62	0,32	4,49	0,32	5,43	0,32	4,59	0,32	6,32	0,32	4,86	0,32	6,15	0,32	7,88	0,32	8,30	0,32	6,15	0,32	6,42	0,32	4,77	0,32	5,53	0,32	4,93	0,32	5,87	0,32	6,15	0,32	5,32	0,32	5,38	0,32	5,67	0,32	4,71
5,28	5,91	4,64	0,33	4,08	0,33	-999,0	0,33	-999,0	0,33	-999,0	0,33	5,61	0,33	4,66	0,33	-999,0	0,33	-999,0	0,33	8,37	0,33	4,88	0,33	4,11	0,33	5,62	0,33	4,49	0,33	5,41	0,33	4,58	0,33	6,30	0,33	4,84	0,33	6,15	0,33	7,86	0,33	8,28	0,33	6,15	0,33	6,41	0,33	4,77	0,33	5,53	0,33	4,93	0,33	5,87	0,33	6,14	0,33	5,31	0,33	5,39	0,33	5,67	0,33	4,71
5,27	5,90	4,64	0,35	4,10	0,35	-999,0	0,35	-999,0	0,35	-999,0	0,35	5,60	0,35	4,67	0,35	-999,0	0,35	-999,0	0,35	8,34	0,35	4,89	0,35	4,11	0,35	5,62	0,35	4,49	0,35	5,39	0,35	4,58	0,35	6,29	0,35	4,83	0,35	6,15	0,35	7,85	0,35	8,26	0,35	6,14	0,35	6,40	0,35	4,77	0,35	5,53	0,35	4,93	0,35	5,87	0,35	6,14	0,35	5,29	0,35	5,40	0,35	5,67	0,35	4,69
5,25	5,88	4,63	0,37	4,12	0,37	-999,0	0,37	-999,0	0,37	-999,0	0,37	5,58	0,37	4,67	0,37	-999,0	0,37	-999,0	0,37	8,31	0,37	4,90	0,37	4,11	0,37	5,62	0,37	4,48	0,37	5,37	0,37	4,57	0,37	6,27	0,37	4,81	0,37	6,15	0,37	7,83	0,37	8,24	0,37	6,14	0,37	6,38	0,37	4,77	0,37	5,53	0,37	4,93	0,37	5,87	0,37	6,13	0,37	5,27	0,37	5,40	0,37	5,66	0,37	4,67
5,25	5,87	4,63	0,38	4,14	0,38	-999,0	0,38	-999,0	0,38	-999,0	0,38	5,56	0,38	4,68	0,38	-999,0	0,38	-999,0	0,38	8,27	0,38	4,90	0,38	4,11	0,38	5,62	0,38	4,48	0,38	5,35	0,38	4,56	0,38	6,25	0,38	4,80	0,38	6,14	0,38	7,81	0,38	8,22	0,38	6,13	0,38	6,37	0,38	4,77	0,38	5,53	0,38	4,93	0,38	5,87	0,38	6,11	0,38	5,26	0,38	5,41	0,38	5,66	0,38	4,64
5,24	5,85	4,62	0,40	4,16	0,40	-999,0	0,40	-999,0	0,40	-999,0	0,40	5,55	0,40	4,69	0,40	-999,0	0,40	-999,0	0,40	8,24	0,40	4,90	0,40	4,11	0,40	5,62	0,40	4,47	0,40	5,33	0,40	4,55	0,40	6,23	0,40	4,78	0,40	6,14	0,40	7,79	0,40	8,20	0,40	6,12	0,40	6,35	0,40	4,77	0,40	5,54	0,40	4,93	0,40	5,87	0,40	6,09	0,40	5,24	0,40	5,42	0,40	5,66	0,40	4,62
5,23	5,83	4,62	0,42	4,18	0,42	-999,0	0,42	-999,0	0,42	-999,0	0,42	5,53	0,42	4,70	0,42	-999,0	0,42	-999,0	0,42	8,21	0,42	4,91	0,42	4,10	0,42	5,62	0,42	4,47	0,42	5,31	0,42	4,53	0,42	6,22	0,42	4,77	0,42	6,14	0,42	7,77	0,42	8,18	0,42	6,11	0,42	6,34	0,42	4,76	0,42	5,54	0,42	4,93	0,42	5,87	0,42	6,08	0,42	5,22	0,42	5,42	0,42	5,65	0,42	4,60
