Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,39	8,18	6,59	0,00	6,07	0,00	6,48	0,00	8,45	0,00	6,19	0,00	10,29	0,00	7,68	0,00	5,94	0,00	6,21	0,00	15,50	0,00	7,45	0,00	8,95	0,00	8,84	0,00	8,56	0,00	10,00	0,00	7,55	0,00	8,32	0,00	7,29	0,00	7,95	0,00	9,42	0,00	9,56	0,00	7,59	0,00	7,51	0,00	5,45	0,00	8,12	0,00	7,56	0,00	7,57	0,00	8,14	0,00	7,70	0,00	8,36	0,00	9,01	0,00	6,78
7,39	8,18	6,59	0,02	6,07	0,02	6,48	0,02	8,45	0,02	6,19	0,02	10,29	0,02	7,68	0,02	5,94	0,02	6,21	0,02	15,50	0,02	7,45	0,02	8,95	0,02	8,84	0,02	8,56	0,02	10,00	0,02	7,55	0,02	8,32	0,02	7,29	0,02	7,95	0,02	9,42	0,02	9,56	0,02	7,59	0,02	7,51	0,02	5,45	0,02	8,12	0,02	7,56	0,02	7,57	0,02	8,14	0,02	7,70	0,02	8,36	0,02	9,01	0,02	6,78
7,39	8,18	6,59	0,03	6,07	0,03	6,48	0,03	8,45	0,03	6,19	0,03	10,30	0,03	7,68	0,03	5,94	0,03	6,19	0,03	15,49	0,03	7,45	0,03	8,95	0,03	8,84	0,03	8,56	0,03	10,00	0,03	7,55	0,03	8,32	0,03	7,29	0,03	7,95	0,03	9,43	0,03	9,56	0,03	7,59	0,03	7,51	0,03	5,45	0,03	8,12	0,03	7,56	0,03	7,57	0,03	8,14	0,03	7,70	0,03	8,37	0,03	9,01	0,03	6,77
7,38	8,18	6,59	0,05	6,07	0,05	6,48	0,05	8,45	0,05	6,19	0,05	10,30	0,05	7,68	0,05	5,94	0,05	6,18	0,05	15,49	0,05	7,45	0,05	8,95	0,05	8,84	0,05	8,56	0,05	10,00	0,05	7,54	0,05	8,31	0,05	7,29	0,05	7,96	0,05	9,43	0,05	9,56	0,05	7,59	0,05	7,51	0,05	5,45	0,05	8,13	0,05	7,56	0,05	7,57	0,05	8,14	0,05	7,70	0,05	8,37	0,05	9,01	0,05	6,77
7,38	8,18	6,59	0,07	6,08	0,07	6,49	0,07	8,45	0,07	6,19	0,07	10,31	0,07	7,68	0,07	5,94	0,07	6,17	0,07	15,47	0,07	7,45	0,07	8,95	0,07	8,84	0,07	8,55	0,07	9,98	0,07	7,54	0,07	8,31	0,07	7,29	0,07	7,96	0,07	9,43	0,07	9,56	0,07	7,59	0,07	7,51	0,07	5,45	0,07	8,14	0,07	7,57	0,07	7,56	0,07	8,14	0,07	7,70	0,07	8,37	0,07	9,01	0,07	6,77
7,38	8,17	6,59	0,08	6,08	0,08	6,49	0,08	8,45	0,08	6,19	0,08	10,32	0,08	7,68	0,08	5,94	0,08	6,16	0,08	15,44	0,08	7,45	0,08	8,95	0,08	8,84	0,08	8,55	0,08	9,96	0,08	7,54	0,08	8,31	0,08	7,28	0,08	7,96	0,08	9,43	0,08	9,56	0,08	7,59	0,08	7,50	0,08	5,45	0,08	8,14	0,08	7,58	0,08	7,56	0,08	8,14	0,08	7,69	0,08	8,38	0,08	9,00	0,08	6,76
7,38	8,17	6,58	0,10	6,09	0,10	6,50	0,10	8,45	0,10	6,19	0,10	10,33	0,10	7,68	0,10	5,93	0,10	6,15	0,10	15,41	0,10	7,46	0,10	8,94	0,10	8,85	0,10	8,54	0,10	9,95	0,10	7,54	0,10	8,31	0,10	7,28	0,10	7,96	0,10	9,43	0,10	9,56	0,10	7,59	0,10	7,50	0,10	5,46	0,10	8,15	0,10	7,59	0,10	7,56	0,10	8,14	0,10	7,69	0,10	8,39	0,10	8,99	0,10	6,76
7,37	8,17	6,58	0,12	6,10	0,12	6,51	0,12	8,45	0,12	6,19	0,12	10,34	0,12	7,68	0,12	5,92	0,12	6,14	0,12	15,38	0,12	7,46	0,12	8,94	0,12	8,84	0,12	8,53	0,12	9,93	0,12	7,54	0,12	8,30	0,12	7,28	0,12	7,97	0,12	9,43	0,12	9,56	0,12	7,58	0,12	7,50	0,12	5,46	0,12	8,16	0,12	7,60	0,12	7,56	0,12	8,14	0,12	7,69	0,12	8,40	0,12	8,98	0,12	6,76
7,37	8,17	6,58	0,13	6,12	0,13	6,52	0,13	8,45	0,13	6,19	0,13	10,36	0,13	7,68	0,13	5,92	0,13	6,13	0,13	15,35	0,13	7,45	0,13	8,94	0,13	8,83	0,13	8,52	0,13	9,91	0,13	7,54	0,13	8,30	0,13	7,28	0,13	7,97	0,13	9,43	0,13	9,56	0,13	7,58	0,13	7,49	0,13	5,47	0,13	8,16	0,13	7,60	0,13	7,56	0,13	8,14	0,13	7,68	0,13	8,41	0,13	8,97	0,13	6,76
7,37	8,16	6,57	0,15	6,14	0,15	6,53	0,15	8,45	0,15	6,19	0,15	10,37	0,15	7,69	0,15	5,91	0,15	6,11	0,15	15,32	0,15	7,44	0,15	8,94	0,15	8,83	0,15	8,51	0,15	9,88	0,15	7,53	0,15	8,29	0,15	7,27	0,15	7,97	0,15	9,43	0,15	9,55	0,15	7,58	0,15	7,48	0,15	5,47	0,15	8,17	0,15	7,61	0,15	7,57	0,15	8,14	0,15	7,67	0,15	8,41	0,15	8,96	0,15	6,75
7,36	8,16	6,56	0,17	6,16	0,17	6,54	0,17	8,45	0,17	6,19	0,17	10,39	0,17	7,68	0,17	5,90	0,17	6,10	0,17	15,29	0,17	7,43	0,17	8,93	0,17	8,82	0,17	8,50	0,17	9,86	0,17	7,53	0,17	8,28	0,17	7,27	0,17	7,98	0,17	9,43	0,17	9,55	0,17	7,57	0,17	7,48	0,17	5,48	0,17	8,17	0,17	7,62	0,17	7,58	0,17	8,14	0,17	7,67	0,17	8,42	0,17	8,95	0,17	6,75
7,36	8,15	6,56	0,18	6,18	0,18	6,56	0,18	8,45	0,18	6,19	0,18	10,41	0,18	7,68	0,18	5,90	0,18	6,09	0,18	15,25	0,18	7,43	0,18	8,93	0,18	8,82	0,18	8,49	0,18	9,83	0,18	7,52	0,18	8,27	0,18	7,27	0,18	7,99	0,18	9,44	0,18	9,55	0,18	7,57	0,18	7,48	0,18	5,48	0,18	8,18	0,18	7,63	0,18	7,58	0,18	8,15	0,18	7,66	0,18	8,43	0,18	8,94	0,18	6,75
7,35	8,14	6,55	0,20	6,20	0,20	6,58	0,20	8,45	0,20	6,19	0,20	10,43	0,20	7,67	0,20	5,89	0,20	6,08	0,20	15,21	0,20	7,42	0,20	8,91	0,20	8,81	0,20	8,48	0,20	9,81	0,20	7,52	0,20	8,26	0,20	7,26	0,20	7,99	0,20	9,44	0,20	9,55	0,20	7,57	0,20	7,48	0,20	5,49	0,20	8,19	0,20	7,63	0,20	7,59	0,20	8,15	0,20	7,65	0,20	8,44	0,20	8,94	0,20	6,75
