Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,12	8,52	5,73	0,00	10,90	0,00	9,93	0,00	10,15	0,00	7,96	0,00	13,08	0,00	7,87	0,00	6,91	0,00	6,44	0,00	-999,0	0,00	7,81	0,00	8,57	0,00	7,91	0,00	7,59	0,00	8,87	0,00	6,59	0,00	6,77	0,00	4,91	0,00	6,77	0,00	12,49	0,00	12,28	0,00	8,77	0,00	7,59	0,00	7,30	0,00	8,13	0,00	7,80	0,00	8,83	0,00	8,68	0,00	9,16	0,00	10,44	0,00	9,73	0,00	10,26
7,12	8,52	5,73	0,02	10,90	0,02	9,93	0,02	10,15	0,02	7,96	0,02	13,08	0,02	7,87	0,02	6,91	0,02	6,44	0,02	-999,0	0,02	7,81	0,02	8,57	0,02	7,91	0,02	7,59	0,02	8,86	0,02	6,59	0,02	6,77	0,02	4,91	0,02	6,77	0,02	12,49	0,02	12,28	0,02	8,77	0,02	7,59	0,02	7,30	0,02	8,13	0,02	7,80	0,02	8,83	0,02	8,68	0,02	9,16	0,02	10,45	0,02	9,73	0,02	10,26
7,12	8,52	5,72	0,03	10,90	0,03	9,92	0,03	10,14	0,03	7,96	0,03	13,08	0,03	7,86	0,03	6,91	0,03	6,44	0,03	-999,0	0,03	7,81	0,03	8,57	0,03	7,91	0,03	7,59	0,03	8,86	0,03	6,59	0,03	6,77	0,03	4,91	0,03	6,77	0,03	12,49	0,03	12,29	0,03	8,77	0,03	7,59	0,03	7,30	0,03	8,13	0,03	7,80	0,03	8,83	0,03	8,68	0,03	9,16	0,03	10,45	0,03	9,73	0,03	10,27
7,12	8,52	5,72	0,05	10,90	0,05	9,92	0,05	10,13	0,05	7,96	0,05	13,09	0,05	7,86	0,05	6,91	0,05	6,45	0,05	-999,0	0,05	7,81	0,05	8,57	0,05	7,91	0,05	7,59	0,05	8,86	0,05	6,59	0,05	6,77	0,05	4,91	0,05	6,77	0,05	12,49	0,05	12,29	0,05	8,77	0,05	7,59	0,05	7,30	0,05	8,14	0,05	7,80	0,05	8,83	0,05	8,69	0,05	9,16	0,05	10,46	0,05	9,74	0,05	10,27
7,12	8,52	5,72	0,07	10,91	0,07	9,92	0,07	10,13	0,07	7,96	0,07	13,09	0,07	7,86	0,07	6,91	0,07	6,43	0,07	-999,0	0,07	7,81	0,07	8,56	0,07	7,91	0,07	7,59	0,07	8,85	0,07	6,59	0,07	6,76	0,07	4,91	0,07	6,78	0,07	12,50	0,07	12,29	0,07	8,77	0,07	7,59	0,07	7,31	0,07	8,15	0,07	7,80	0,07	8,83	0,07	8,70	0,07	9,16	0,07	10,47	0,07	9,74	0,07	10,28
7,12	8,52	5,72	0,08	10,91	0,08	9,91	0,08	10,12	0,08	7,96	0,08	13,10	0,08	7,86	0,08	6,91	0,08	6,41	0,08	-999,0	0,08	7,81	0,08	8,56	0,08	7,92	0,08	7,58	0,08	8,84	0,08	6,59	0,08	6,76	0,08	4,91	0,08	6,78	0,08	12,50	0,08	12,29	0,08	8,77	0,08	7,59	0,08	7,32	0,08	8,17	0,08	7,80	0,08	8,82	0,08	8,72	0,08	9,16	0,08	10,48	0,08	9,74	0,08	10,29
7,12	8,51	5,72	0,10	10,92	0,10	9,89	0,10	10,12	0,10	7,96	0,10	13,11	0,10	7,86	0,10	6,91	0,10	6,39	0,10	-999,0	0,10	7,80	0,10	8,55	0,10	7,92	0,10	7,58	0,10	8,83	0,10	6,59	0,10	6,76	0,10	4,91	0,10	6,78	0,10	12,50	0,10	12,29	0,10	8,77	0,10	7,58	0,10	7,33	0,10	8,18	0,10	7,81	0,10	8,82	0,10	8,73	0,10	9,15	0,10	10,49	0,10	9,74	0,10	10,30
7,12	8,51	5,72	0,12	10,93	0,12	9,88	0,12	10,12	0,12	7,96	0,12	13,12	0,12	7,86	0,12	6,91	0,12	6,37	0,12	-999,0	0,12	7,78	0,12	8,54	0,12	7,92	0,12	7,58	0,12	8,82	0,12	6,58	0,12	6,75	0,12	4,91	0,12	6,79	0,12	12,51	0,12	12,29	0,12	8,77	0,12	7,58	0,12	7,34	0,12	8,20	0,12	7,81	0,12	8,82	0,12	8,75	0,12	9,15	0,12	10,51	0,12	9,74	0,12	10,31
7,11	8,50	5,72	0,13	10,94	0,13	9,87	0,13	10,11	0,13	7,96	0,13	13,14	0,13	7,85	0,13	6,90	0,13	6,36	0,13	-999,0	0,13	7,77	0,13	8,54	0,13	7,92	0,13	7,57	0,13	8,81	0,13	6,58	0,13	6,74	0,13	4,91	0,13	6,79	0,13	12,51	0,13	12,28	0,13	8,76	0,13	7,58	0,13	7,35	0,13	8,21	0,13	7,82	0,13	8,82	0,13	8,78	0,13	9,14	0,13	10,53	0,13	9,74	0,13	10,33
7,10	8,50	5,71	0,15	10,93	0,15	9,85	0,15	10,11	0,15	7,96	0,15	13,15	0,15	7,85	0,15	6,88	0,15	6,34	0,15	-999,0	0,15	7,76	0,15	8,53	0,15	7,92	0,15	7,57	0,15	8,79	0,15	6,58	0,15	6,73	0,15	4,91	0,15	6,80	0,15	12,51	0,15	12,28	0,15	8,76	0,15	7,58	0,15	7,36	0,15	8,23	0,15	7,82	0,15	8,82	0,15	8,80	0,15	9,14	0,15	10,56	0,15	9,74	0,15	10,34
7,09	8,49	5,70	0,17	10,93	0,17	9,84	0,17	10,11	0,17	7,96	0,17	13,16	0,17	7,85	0,17	6,86	0,17	6,33	0,17	-999,0	0,17	7,75	0,17	8,50	0,17	7,93	0,17	7,57	0,17	8,77	0,17	6,58	0,17	6,72	0,17	4,91	0,17	6,82	0,17	12,52	0,17	12,28	0,17	8,76	0,17	7,58	0,17	7,37	0,17	8,26	0,17	7,83	0,17	8,82	0,17	8,83	0,17	9,13	0,17	10,59	0,17	9,74	0,17	10,36
7,09	8,48	5,70	0,18	10,93	0,18	9,82	0,18	10,11	0,18	7,96	0,18	13,17	0,18	7,85	0,18	6,85	0,18	6,31	0,18	-999,0	0,18	7,74	0,18	8,48	0,18	7,93	0,18	7,56	0,18	8,75	0,18	6,57	0,18	6,71	0,18	4,92	0,18	6,84	0,18	12,52	0,18	12,28	0,18	8,75	0,18	7,58	0,18	7,38	0,18	8,28	0,18	7,84	0,18	8,83	0,18	8,86	0,18	9,12	0,18	10,62	0,18	9,75	0,18	10,39
7,08	8,47	5,69	0,20	10,93	0,20	9,81	0,20	10,10	0,20	7,96	0,20	13,18	0,20	7,83	0,20	6,83	0,20	6,30	0,20	-999,0	0,20	7,73	0,20	8,45	0,20	7,93	0,20	7,56	0,20	8,73	0,20	6,57	0,20	6,70	0,20	4,92	0,20	6,86	0,20	12,53	0,20	12,27	0,20	8,75	0,20	7,58	0,20	7,39	0,20	8,30	0,20	7,85	0,20	8,83	0,20	8,90	0,20	9,12	0,20	10,65	0,20	9,75	0,20	10,41
7,07	8,45	5,68	0,22	10,93	0,22	9,79	0,22	10,10	0,22	7,97	0,22	13,19	0,22	7,82	0,22	6,81	0,22	6,29	0,22	-999,0	0,22	7,72	0,22	8,42	0,22	7,94	0,22	7,55	0,22	8,71	0,22	6,56	0,22	6,68	0,22	4,92	0,22	6,88	0,22	12,53	0,22	12,27	0,22	8,75	0,22	7,58	0,22	7,40	0,22	8,33	0,22	7,86	0,22	8,83	0,22	8,93	0,22	9,11	0,22	10,69	0,22	9,75	0,22	10,44
7,06	8,43	5,68	0,23	10,94	0,23	9,79	0,23	10,10	0,23	7,97	0,23	13,21	0,23	7,80	0,23	6,79	0,23	6,28	0,23	-999,0	0,23	7,71	0,23	8,40	0,23	7,93	0,23	7,55	0,23	8,68	0,23	6,56	0,23	6,67	0,23	4,93	0,23	6,90	0,23	12,54	0,23	12,26	0,23	8,76	0,23	7,58	0,23	7,41	0,23	8,36	0,23	7,87	0,23	8,83	0,23	8,97	0,23	9,10	0,23	10,73	0,23	9,76	0,23	10,47
7,05	8,42	5,68	0,25	10,94	0,25	9,78	0,25	10,10	0,25	7,97	0,25	13,22	0,25	7,78	0,25	6,78	0,25	6,27	0,25	-999,0	0,25	7,70	0,25	8,37	0,25	7,93	0,25	7,54	0,25	8,65	0,25	6,55	0,25	6,65	0,25	4,94	0,25	6,93	0,25	12,54	0,25	12,26	0,25	8,76	0,25	7,58	0,25	7,42	0,25	8,39	0,25	7,88	0,25	8,84	0,25	9,02	0,25	9,09	0,25	10,77	0,25	9,76	0,25	10,50
7,04	8,40	5,67	0,27	10,95	0,27	9,78	0,27	10,09	0,27	7,97	0,27	13,20	0,27	7,76	0,27	6,76	0,27	6,26	0,27	-999,0	0,27	7,69	0,27	8,34	0,27	7,92	0,27	7,53	0,27	8,62	0,27	6,54	0,27	6,63	0,27	4,95	0,27	6,96	0,27	12,55	0,27	12,25	0,27	8,76	0,27	7,57	0,27	7,43	0,27	8,42	0,27	7,89	0,27	8,84	0,27	9,06	0,27	9,08	0,27	10,81	0,27	9,76	0,27	10,53
