Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,95	9,33	6,57	0,00	8,40	0,00	8,39	0,00	10,02	0,00	7,85	0,00	11,58	0,00	8,08	0,00	6,45	0,00	7,13	0,00	-999,0	0,00	8,13	0,00	9,59	0,00	9,45	0,00	9,60	0,00	11,42	0,00	8,63	0,00	10,12	0,00	7,15	0,00	8,41	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0
7,95	9,33	6,57	0,02	8,41	0,02	8,39	0,02	10,02	0,02	7,85	0,02	11,58	0,02	8,08	0,02	6,45	0,02	7,13	0,02	-999,0	0,02	8,13	0,02	9,59	0,02	9,45	0,02	9,60	0,02	11,42	0,02	8,62	0,02	10,12	0,02	7,15	0,02	8,41	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0
7,95	9,33	6,57	0,03	8,41	0,03	8,39	0,03	10,02	0,03	7,85	0,03	11,58	0,03	8,08	0,03	6,45	0,03	7,14	0,03	-999,0	0,03	8,13	0,03	9,59	0,03	9,45	0,03	9,60	0,03	11,42	0,03	8,62	0,03	10,12	0,03	7,15	0,03	8,41	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0
7,95	9,32	6,57	0,05	8,42	0,05	8,39	0,05	10,02	0,05	7,85	0,05	11,59	0,05	8,08	0,05	6,45	0,05	7,14	0,05	-999,0	0,05	8,13	0,05	9,59	0,05	9,45	0,05	9,59	0,05	11,41	0,05	8,61	0,05	10,11	0,05	7,15	0,05	8,41	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0
7,95	9,33	6,57	0,07	8,43	0,07	8,40	0,07	10,02	0,07	7,85	0,07	11,60	0,07	8,09	0,07	6,45	0,07	7,14	0,07	-999,0	0,07	8,12	0,07	9,59	0,07	9,45	0,07	9,59	0,07	11,41	0,07	8,60	0,07	10,11	0,07	7,15	0,07	8,41	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0
7,95	9,31	6,58	0,08	8,44	0,08	8,40	0,08	10,03	0,08	7,85	0,08	11,61	0,08	8,09	0,08	6,45	0,08	7,15	0,08	-999,0	0,08	8,12	0,08	9,59	0,08	9,46	0,08	9,59	0,08	11,39	0,08	8,60	0,08	10,09	0,08	7,15	0,08	8,42	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0
7,94	9,31	6,58	0,10	8,45	0,10	8,40	0,10	10,03	0,10	7,86	0,10	11,63	0,10	8,09	0,10	6,45	0,10	7,14	0,10	-999,0	0,10	8,11	0,10	9,59	0,10	9,46	0,10	9,59	0,10	11,37	0,10	8,59	0,10	10,08	0,10	7,15	0,10	8,42	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0
7,94	9,29	6,58	0,12	8,46	0,12	8,41	0,12	-999,0	0,12	7,86	0,12	11,64	0,12	8,09	0,12	6,45	0,12	7,13	0,12	-999,0	0,12	8,10	0,12	9,58	0,12	9,46	0,12	9,59	0,12	11,35	0,12	8,58	0,12	10,06	0,12	7,15	0,12	8,43	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0
7,93	9,29	6,58	0,13	8,48	0,13	8,41	0,13	-999,0	0,13	7,86	0,13	11,67	0,13	8,09	0,13	6,44	0,13	7,12	0,13	-999,0	0,13	8,10	0,13	9,56	0,13	9,46	0,13	9,58	0,13	11,33	0,13	8,57	0,13	10,05	0,13	7,15	0,13	8,43	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0
7,93	9,27	6,58	0,15	8,50	0,15	8,42	0,15	-999,0	0,15	7,86	0,15	11,69	0,15	8,09	0,15	6,44	0,15	7,11	0,15	-999,0	0,15	8,10	0,15	9,54	0,15	9,47	0,15	9,57	0,15	11,30	0,15	8,56	0,15	10,03	0,15	7,14	0,15	8,44	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0
7,92	9,26	6,57	0,17	8,52	0,17	8,42	0,17	-999,0	0,17	7,86	0,17	11,72	0,17	8,09	0,17	6,43	0,17	7,10	0,17	-999,0	0,17	8,09	0,17	9,52	0,17	9,47	0,17	9,56	0,17	11,28	0,17	8,55	0,17	10,01	0,17	7,13	0,17	8,44	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0
7,90	9,25	6,56	0,18	8,54	0,18	8,43	0,18	-999,0	0,18	7,86	0,18	11,74	0,18	8,09	0,18	6,41	0,18	7,09	0,18	-999,0	0,18	8,09	0,18	9,50	0,18	9,47	0,18	9,55	0,18	11,25	0,18	8,54	0,18	9,99	0,18	7,12	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0
7,90	9,23	6,56	0,20	8,57	0,20	8,43	0,20	-999,0	0,20	7,86	0,20	11,78	0,20	8,09	0,20	6,40	0,20	7,08	0,20	-999,0	0,20	8,09	0,20	9,48	0,20	9,47	0,20	9,54	0,20	11,22	0,20	8,53	0,20	9,97	0,20	7,12	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0
7,89	9,22	6,55	0,22	8,59	0,22	8,44	0,22	-999,0	0,22	7,86	0,22	11,81	0,22	8,10	0,22	6,39	0,22	7,07	0,22	-999,0	0,22	8,09	0,22	9,46	0,22	9,45	0,22	9,53	0,22	11,19	0,22	8,52	0,22	9,95	0,22	7,11	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0
7,87	9,21	6,54	0,23	8,62	0,23	8,44	0,23	-999,0	0,23	7,86	0,23	11,85	0,23	8,09	0,23	6,37	0,23	7,07	0,23	-999,0	0,23	8,09	0,23	9,44	0,23	9,44	0,23	9,51	0,23	11,16	0,23	8,51	0,23	9,93	0,23	7,10	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0
7,86	9,19	6,53	0,25	8,64	0,25	8,46	0,25	-999,0	0,25	7,86	0,25	11,89	0,25	8,09	0,25	6,35	0,25	7,06	0,25	-999,0	0,25	8,09	0,25	9,42	0,25	9,42	0,25	9,50	0,25	11,13	0,25	8,50	0,25	9,90	0,25	7,09	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0
7,85	9,17	6,52	0,27	8,67	0,27	8,47	0,27	-999,0	0,27	7,87	0,27	11,93	0,27	8,08	0,27	6,34	0,27	7,05	0,27	-999,0	0,27	8,09	0,27	9,40	0,27	9,41	0,27	9,47	0,27	11,09	0,27	8,49	0,27	9,88	0,27	7,09	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0
7,83	9,16	6,51	0,28	8,70	0,28	8,48	0,28	-999,0	0,28	7,87	0,28	11,97	0,28	8,08	0,28	6,32	0,28	7,04	0,28	-999,0	0,28	8,10	0,28	9,38	0,28	9,40	0,28	9,44	0,28	11,06	0,28	8,47	0,28	9,86	0,28	7,08	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0
7,82	9,14	6,50	0,30	8,72	0,30	8,49	0,30	-999,0	0,30	7,87	0,30	11,98	0,30	8,08	0,30	6,31	0,30	7,04	0,30	-999,0	0,30	8,10	0,30	9,35	0,30	9,39	0,30	9,42	0,30	11,02	0,30	8,46	0,30	9,83	0,30	7,07	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0
7,81	9,13	6,49	0,32	8,78	0,32	8,51	0,32	-999,0	0,32	7,87	0,32	11,99	0,32	8,07	0,32	6,29	0,32	7,03	0,32	-999,0	0,32	8,10	0,32	9,33	0,32	9,37	0,32	9,39	0,32	10,98	0,32	8,45	0,32	9,81	0,32	7,07	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0	0,32	-999,0
