Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
9,65	12,32	6,98	0,00	15,19	0,00	9,47	0,00	13,85	0,00	9,00	0,00	15,88	0,00	9,36	0,00	8,35	0,00	9,17	0,00	19,63	0,00	8,17	0,00	11,11	0,00	10,33	0,00	9,97	0,00	11,40	0,00	8,05	0,00	12,88	0,00	5,50	0,00	13,93	0,00	16,52	0,00	16,49	0,00	8,55	0,00	10,29	0,00	8,21	0,00	16,67	0,00	13,92	0,00	10,28	0,00	19,36	0,00	12,14	0,00	11,30	0,00	8,87	0,00	10,49
9,65	12,32	6,98	0,02	15,19	0,02	9,47	0,02	13,85	0,02	9,00	0,02	15,88	0,02	9,36	0,02	8,35	0,02	9,17	0,02	19,63	0,02	8,17	0,02	11,11	0,02	10,33	0,02	9,97	0,02	11,40	0,02	8,05	0,02	12,88	0,02	5,50	0,02	13,93	0,02	16,52	0,02	16,49	0,02	8,55	0,02	10,29	0,02	8,21	0,02	16,67	0,02	13,92	0,02	10,28	0,02	19,36	0,02	12,14	0,02	11,31	0,02	8,87	0,02	10,49
9,65	12,32	6,98	0,03	15,19	0,03	9,47	0,03	13,85	0,03	9,00	0,03	15,88	0,03	9,36	0,03	8,35	0,03	9,17	0,03	19,63	0,03	8,18	0,03	11,12	0,03	10,33	0,03	9,97	0,03	11,40	0,03	8,05	0,03	12,88	0,03	5,50	0,03	13,93	0,03	16,52	0,03	16,49	0,03	8,55	0,03	10,29	0,03	8,21	0,03	16,67	0,03	13,93	0,03	10,28	0,03	19,35	0,03	12,14	0,03	11,32	0,03	8,88	0,03	10,49
9,65	12,32	6,97	0,05	15,18	0,05	9,46	0,05	13,86	0,05	9,00	0,05	15,89	0,05	9,36	0,05	8,34	0,05	9,17	0,05	19,62	0,05	8,18	0,05	11,05	0,05	10,31	0,05	9,97	0,05	11,39	0,05	8,05	0,05	12,89	0,05	5,50	0,05	13,93	0,05	16,52	0,05	16,49	0,05	8,55	0,05	10,29	0,05	8,21	0,05	16,67	0,05	13,93	0,05	10,28	0,05	19,35	0,05	12,14	0,05	11,34	0,05	8,88	0,05	10,50
9,65	12,32	6,98	0,07	15,17	0,07	9,46	0,07	13,86	0,07	8,99	0,07	15,90	0,07	9,36	0,07	8,34	0,07	9,17	0,07	19,61	0,07	8,19	0,07	10,99	0,07	10,30	0,07	9,96	0,07	11,38	0,07	8,05	0,07	12,89	0,07	5,51	0,07	13,94	0,07	16,52	0,07	16,48	0,07	8,55	0,07	10,30	0,07	8,21	0,07	16,67	0,07	13,94	0,07	10,28	0,07	19,35	0,07	12,14	0,07	11,36	0,07	8,90	0,07	10,51
9,65	12,32	6,98	0,08	15,17	0,08	9,46	0,08	13,86	0,08	8,99	0,08	15,92	0,08	9,36	0,08	8,34	0,08	9,17	0,08	19,60	0,08	8,19	0,08	10,93	0,08	10,28	0,08	9,96	0,08	11,37	0,08	8,05	0,08	12,89	0,08	5,51	0,08	13,94	0,08	16,52	0,08	16,48	0,08	8,55	0,08	10,31	0,08	8,21	0,08	16,67	0,08	13,95	0,08	10,28	0,08	19,35	0,08	12,15	0,08	11,39	0,08	8,91	0,08	10,52
9,65	12,32	6,98	0,10	15,13	0,10	9,46	0,10	13,86	0,10	8,99	0,10	15,94	0,10	9,35	0,10	8,33	0,10	9,18	0,10	19,59	0,10	8,20	0,10	10,87	0,10	10,26	0,10	9,95	0,10	11,36	0,10	8,05	0,10	12,89	0,10	5,53	0,10	13,95	0,10	16,52	0,10	16,48	0,10	8,54	0,10	10,32	0,10	8,22	0,10	16,67	0,10	13,97	0,10	10,29	0,10	19,36	0,10	12,15	0,10	11,43	0,10	8,93	0,10	10,53
9,66	12,32	6,99	0,12	15,10	0,12	9,46	0,12	13,86	0,12	8,98	0,12	15,96	0,12	9,35	0,12	8,33	0,12	9,18	0,12	19,58	0,12	8,19	0,12	10,81	0,12	10,24	0,12	9,91	0,12	11,34	0,12	8,05	0,12	12,90	0,12	5,55	0,12	13,96	0,12	16,52	0,12	16,48	0,12	8,54	0,12	10,32	0,12	8,22	0,12	16,67	0,12	13,98	0,12	10,29	0,12	19,36	0,12	12,16	0,12	11,48	0,12	8,95	0,12	10,55
9,66	12,32	7,00	0,13	15,06	0,13	9,46	0,13	13,87	0,13	8,98	0,13	15,99	0,13	9,35	0,13	8,32	0,13	9,18	0,13	19,56	0,13	8,19	0,13	10,76	0,13	10,23	0,13	9,87	0,13	11,33	0,13	8,05	0,13	12,90	0,13	5,56	0,13	13,97	0,13	16,52	0,13	16,48	0,13	8,54	0,13	10,33	0,13	8,22	0,13	16,67	0,13	14,00	0,13	10,30	0,13	19,36	0,13	12,17	0,13	11,53	0,13	8,97	0,13	10,57
9,66	12,32	7,00	0,15	15,03	0,15	9,45	0,15	13,87	0,15	8,97	0,15	16,01	0,15	9,34	0,15	8,31	0,15	9,19	0,15	19,54	0,15	8,18	0,15	10,70	0,15	10,21	0,15	9,83	0,15	11,31	0,15	8,05	0,15	12,90	0,15	5,58	0,15	13,98	0,15	16,52	0,15	16,49	0,15	8,54	0,15	10,34	0,15	8,23	0,15	16,66	0,15	14,03	0,15	10,30	0,15	19,36	0,15	12,17	0,15	11,59	0,15	9,00	0,15	10,60
