Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
4,44	4,74	4,14	0,00	-999,0	0,00	4,28	0,00	5,59	0,00	-999,0	0,00	7,18	0,00	4,84	0,00	4,13	0,00	3,28	0,00	14,34	0,00	-999,0	0,00	1,72	0,00	7,38	0,00	4,10	0,00	5,48	0,00	-999,0	0,00	-999,0	0,00	4,35	0,00	3,91	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	7,62	0,00	-999,0	0,00	-999,0	0,00	6,75	0,00	-999,0	0,00	-999,0
4,44	4,74	4,14	0,02	-999,0	0,02	4,28	0,02	5,59	0,02	-999,0	0,02	7,18	0,02	4,84	0,02	4,13	0,02	3,28	0,02	14,34	0,02	-999,0	0,02	1,72	0,02	7,38	0,02	4,10	0,02	5,48	0,02	-999,0	0,02	-999,0	0,02	4,35	0,02	3,91	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	7,62	0,02	-999,0	0,02	-999,0	0,02	6,75	0,02	-999,0	0,02	-999,0
4,44	4,74	4,14	0,03	-999,0	0,03	4,29	0,03	5,59	0,03	-999,0	0,03	7,17	0,03	4,84	0,03	4,13	0,03	3,27	0,03	14,34	0,03	-999,0	0,03	1,72	0,03	7,38	0,03	4,10	0,03	5,48	0,03	-999,0	0,03	-999,0	0,03	4,35	0,03	3,91	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	7,62	0,03	-999,0	0,03	-999,0	0,03	6,75	0,03	-999,0	0,03	-999,0
4,44	4,74	4,14	0,05	-999,0	0,05	4,29	0,05	5,59	0,05	-999,0	0,05	7,15	0,05	4,84	0,05	4,13	0,05	3,27	0,05	14,34	0,05	-999,0	0,05	1,73	0,05	7,39	0,05	4,10	0,05	5,47	0,05	-999,0	0,05	-999,0	0,05	4,35	0,05	3,91	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	7,62	0,05	-999,0	0,05	-999,0	0,05	6,75	0,05	-999,0	0,05	-999,0
4,44	4,73	4,14	0,07	-999,0	0,07	4,30	0,07	5,60	0,07	-999,0	0,07	7,14	0,07	4,83	0,07	4,13	0,07	3,27	0,07	14,33	0,07	-999,0	0,07	1,73	0,07	7,39	0,07	4,10	0,07	5,47	0,07	-999,0	0,07	-999,0	0,07	4,35	0,07	3,91	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	7,62	0,07	-999,0	0,07	-999,0	0,07	6,75	0,07	-999,0	0,07	-999,0
4,43	4,72	4,15	0,08	-999,0	0,08	4,31	0,08	5,60	0,08	-999,0	0,08	7,12	0,08	4,82	0,08	4,13	0,08	3,27	0,08	14,32	0,08	-999,0	0,08	1,73	0,08	7,39	0,08	4,09	0,08	5,46	0,08	-999,0	0,08	-999,0	0,08	4,35	0,08	3,91	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	7,62	0,08	-999,0	0,08	-999,0	0,08	6,75	0,08	-999,0	0,08	-999,0
4,43	4,71	4,15	0,10	-999,0	0,10	4,32	0,10	5,60	0,10	-999,0	0,10	7,10	0,10	4,81	0,10	4,13	0,10	3,26	0,10	14,31	0,10	-999,0	0,10	1,73	0,10	7,39	0,10	4,09	0,10	5,46	0,10	-999,0	0,10	-999,0	0,10	4,35	0,10	3,91	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	7,62	0,10	-999,0	0,10	-999,0	0,10	6,76	0,10	-999,0	0,10	-999,0
4,43	4,71	4,15	0,12	-999,0	0,12	4,32	0,12	5,61	0,12	-999,0	0,12	7,09	0,12	4,81	0,12	4,13	0,12	3,26	0,12	14,30	0,12	-999,0	0,12	1,73	0,12	7,40	0,12	4,09	0,12	5,45	0,12	-999,0	0,12	-999,0	0,12	4,35	0,12	3,91	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	7,63	0,12	-999,0	0,12	-999,0	0,12	6,77	0,12	-999,0	0,12	-999,0
4,43	4,71	4,15	0,13	-999,0	0,13	4,33	0,13	5,61	0,13	-999,0	0,13	7,07	0,13	4,80	0,13	4,13	0,13	3,26	0,13	14,29	0,13	-999,0	0,13	1,72	0,13	7,44	0,13	4,09	0,13	5,45	0,13	-999,0	0,13	-999,0	0,13	4,35	0,13	3,91	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	7,64	0,13	-999,0	0,13	-999,0	0,13	6,79	0,13	-999,0	0,13	-999,0
4,42	4,70	4,14	0,15	-999,0	0,15	4,34	0,15	5,62	0,15	-999,0	0,15	7,05	0,15	4,79	0,15	4,12	0,15	3,25	0,15	14,27	0,15	-999,0	0,15	1,72	0,15	7,44	0,15	4,09	0,15	5,44	0,15	-999,0	0,15	-999,0	0,15	4,35	0,15	3,91	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	7,65	0,15	-999,0	0,15	-999,0	0,15	6,80	0,15	-999,0	0,15	-999,0
4,42	4,70	4,14	0,17	-999,0	0,17	4,35	0,17	5,61	0,17	-999,0	0,17	7,03	0,17	4,79	0,17	4,12	0,17	3,25	0,17	14,26	0,17	-999,0	0,17	1,72	0,17	7,44	0,17	4,09	0,17	5,43	0,17	-999,0	0,17	-999,0	0,17	4,35	0,17	3,91	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	7,66	0,17	-999,0	0,17	-999,0	0,17	6,82	0,17	-999,0	0,17	-999,0
4,41	4,69	4,13	0,18	-999,0	0,18	4,37	0,18	5,60	0,18	-999,0	0,18	7,01	0,18	4,78	0,18	4,11	0,18	3,24	0,18	14,24	0,18	-999,0	0,18	1,72	0,18	7,45	0,18	4,09	0,18	5,42	0,18	-999,0	0,18	-999,0	0,18	4,34	0,18	3,92	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	7,67	0,18	-999,0	0,18	-999,0	0,18	6,83	0,18	-999,0	0,18	-999,0
4,41	4,69	4,13	0,20	-999,0	0,20	4,38	0,20	5,59	0,20	-999,0	0,20	7,00	0,20	4,78	0,20	4,10	0,20	3,22	0,20	14,23	0,20	-999,0	0,20	1,72	0,20	-999,0	0,20	4,10	0,20	5,41	0,20	-999,0	0,20	-999,0	0,20	4,34	0,20	3,92	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	7,68	0,20	-999,0	0,20	-999,0	0,20	6,85	0,20	-999,0	0,20	-999,0
