Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
4,90	6,45	3,35	0,00	3,96	0,00	4,49	0,00	5,31	0,00	3,92	0,00	6,93	0,00	4,43	0,00	3,59	0,00	3,96	0,00	10,34	0,00	4,46	0,00	4,17	0,00	5,10	0,00	4,70	0,00	5,31	0,00	3,80	0,00	4,46	0,00	4,09	0,00	5,32	0,00	6,55	0,00	6,50	0,00	5,70	0,00	5,05	0,00	5,50	0,00	6,84	0,00	4,81	0,00	6,62	0,00	8,47	0,00	7,93	0,00	8,22	0,00	6,52	0,00	5,52
4,90	6,44	3,35	0,02	3,96	0,02	4,49	0,02	5,31	0,02	3,92	0,02	6,93	0,02	4,43	0,02	3,59	0,02	3,96	0,02	10,34	0,02	4,46	0,02	4,17	0,02	5,10	0,02	4,70	0,02	5,31	0,02	3,80	0,02	4,45	0,02	4,09	0,02	5,32	0,02	6,55	0,02	6,49	0,02	5,70	0,02	5,05	0,02	5,50	0,02	6,84	0,02	4,81	0,02	6,62	0,02	8,47	0,02	7,92	0,02	8,22	0,02	6,52	0,02	5,52
4,90	6,44	3,35	0,03	3,97	0,03	4,49	0,03	5,32	0,03	3,92	0,03	6,92	0,03	4,43	0,03	3,59	0,03	3,96	0,03	10,34	0,03	4,47	0,03	4,17	0,03	5,10	0,03	4,70	0,03	5,31	0,03	3,80	0,03	4,45	0,03	4,09	0,03	5,32	0,03	6,55	0,03	6,49	0,03	5,70	0,03	5,05	0,03	5,50	0,03	6,84	0,03	4,81	0,03	6,62	0,03	8,47	0,03	7,92	0,03	8,22	0,03	6,52	0,03	5,52
4,89	6,44	3,35	0,05	3,97	0,05	4,50	0,05	5,32	0,05	3,92	0,05	6,90	0,05	4,43	0,05	3,59	0,05	3,96	0,05	10,33	0,05	4,47	0,05	4,17	0,05	5,10	0,05	4,69	0,05	5,30	0,05	3,80	0,05	4,45	0,05	4,08	0,05	5,32	0,05	6,55	0,05	6,49	0,05	5,70	0,05	5,05	0,05	5,50	0,05	6,84	0,05	4,81	0,05	6,62	0,05	8,48	0,05	7,92	0,05	8,23	0,05	6,52	0,05	5,52
4,90	6,44	3,35	0,07	3,97	0,07	4,51	0,07	5,32	0,07	3,92	0,07	6,89	0,07	4,43	0,07	3,59	0,07	3,96	0,07	10,32	0,07	4,47	0,07	4,17	0,07	5,10	0,07	4,69	0,07	5,30	0,07	3,80	0,07	4,45	0,07	4,08	0,07	5,32	0,07	6,55	0,07	6,49	0,07	5,70	0,07	5,05	0,07	5,50	0,07	6,84	0,07	4,81	0,07	6,62	0,07	8,49	0,07	7,93	0,07	8,23	0,07	6,52	0,07	5,51
4,89	6,44	3,34	0,08	3,97	0,08	4,52	0,08	5,33	0,08	3,92	0,08	6,88	0,08	4,42	0,08	3,59	0,08	3,96	0,08	10,31	0,08	4,47	0,08	4,17	0,08	5,10	0,08	4,69	0,08	5,30	0,08	3,81	0,08	4,45	0,08	4,08	0,08	5,32	0,08	6,56	0,08	6,49	0,08	5,70	0,08	5,05	0,08	5,50	0,08	6,84	0,08	4,81	0,08	6,62	0,08	8,50	0,08	7,93	0,08	8,23	0,08	6,52	0,08	5,51
4,89	6,44	3,34	0,10	3,98	0,10	4,53	0,10	5,34	0,10	3,91	0,10	6,86	0,10	4,41	0,10	3,59	0,10	3,95	0,10	10,30	0,10	4,47	0,10	4,17	0,10	5,10	0,10	4,69	0,10	5,29	0,10	3,81	0,10	4,45	0,10	4,08	0,10	5,32	0,10	6,56	0,10	6,49	0,10	5,70	0,10	5,04	0,10	5,50	0,10	6,84	0,10	4,81	0,10	6,63	0,10	8,50	0,10	7,93	0,10	8,23	0,10	6,52	0,10	5,50
4,89	6,45	3,34	0,12	4,00	0,12	4,54	0,12	5,34	0,12	3,91	0,12	6,85	0,12	4,41	0,12	3,59	0,12	3,95	0,12	10,29	0,12	4,48	0,12	4,17	0,12	5,10	0,12	4,69	0,12	5,29	0,12	3,81	0,12	4,44	0,12	4,08	0,12	5,33	0,12	6,56	0,12	6,48	0,12	5,71	0,12	5,04	0,12	5,50	0,12	6,83	0,12	4,81	0,12	6,64	0,12	8,50	0,12	7,94	0,12	8,24	0,12	6,52	0,12	5,50
4,89	6,44	3,33	0,13	4,01	0,13	4,55	0,13	5,35	0,13	3,90	0,13	6,83	0,13	4,40	0,13	3,59	0,13	3,95	0,13	10,27	0,13	4,48	0,13	4,17	0,13	5,10	0,13	4,69	0,13	5,28	0,13	3,82	0,13	4,44	0,13	4,07	0,13	5,33	0,13	6,56	0,13	6,48	0,13	5,71	0,13	5,04	0,13	5,50	0,13	6,83	0,13	4,81	0,13	6,65	0,13	8,51	0,13	7,94	0,13	8,25	0,13	6,52	0,13	5,50
4,89	6,44	3,33	0,15	4,03	0,15	4,56	0,15	5,36	0,15	3,90	0,15	6,82	0,15	4,40	0,15	3,58	0,15	3,94	0,15	10,25	0,15	4,48	0,15	4,17	0,15	5,11	0,15	4,69	0,15	5,28	0,15	3,82	0,15	4,44	0,15	4,07	0,15	5,33	0,15	6,56	0,15	6,48	0,15	5,71	0,15	5,03	0,15	5,50	0,15	6,83	0,15	4,80	0,15	6,66	0,15	8,51	0,15	7,94	0,15	8,26	0,15	6,51	0,15	5,49
