Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,60	8,92	6,27	0,00	7,73	0,00	8,16	0,00	10,13	0,00	7,16	0,00	11,54	0,00	7,39	0,00	5,31	0,00	7,49	0,00	15,60	0,00	6,68	0,00	8,85	0,00	8,17	0,00	7,66	0,00	8,58	0,00	6,82	0,00	8,04	0,00	7,83	0,00	7,50	0,00	10,45	0,00	11,03	0,00	9,01	0,00	8,83	0,00	6,04	0,00	8,51	0,00	6,54	0,00	7,40	0,00	8,67	0,00	9,41	0,00	9,31	0,00	8,02	0,00	8,26
7,60	8,92	6,27	0,02	7,74	0,02	8,16	0,02	10,13	0,02	7,16	0,02	11,54	0,02	7,39	0,02	5,31	0,02	7,49	0,02	15,57	0,02	6,68	0,02	8,85	0,02	8,17	0,02	7,66	0,02	8,58	0,02	6,82	0,02	8,04	0,02	7,83	0,02	7,50	0,02	10,45	0,02	11,03	0,02	9,01	0,02	8,83	0,02	6,04	0,02	8,51	0,02	6,54	0,02	7,40	0,02	8,67	0,02	9,41	0,02	9,31	0,02	8,02	0,02	8,26
7,60	8,92	6,27	0,03	7,74	0,03	8,16	0,03	10,13	0,03	7,16	0,03	11,55	0,03	7,39	0,03	5,31	0,03	7,50	0,03	15,55	0,03	6,68	0,03	8,85	0,03	8,18	0,03	7,66	0,03	8,58	0,03	6,82	0,03	8,04	0,03	7,83	0,03	7,50	0,03	10,45	0,03	11,03	0,03	9,01	0,03	8,82	0,03	6,04	0,03	8,51	0,03	6,54	0,03	7,41	0,03	8,67	0,03	9,41	0,03	9,31	0,03	8,03	0,03	8,26
7,59	8,92	6,27	0,05	7,74	0,05	8,16	0,05	10,13	0,05	7,16	0,05	11,55	0,05	7,39	0,05	5,31	0,05	7,50	0,05	15,52	0,05	6,68	0,05	8,85	0,05	8,18	0,05	7,66	0,05	8,57	0,05	6,82	0,05	8,03	0,05	7,83	0,05	7,50	0,05	10,45	0,05	11,03	0,05	9,01	0,05	8,82	0,05	6,05	0,05	8,51	0,05	6,54	0,05	7,41	0,05	8,68	0,05	9,41	0,05	9,32	0,05	8,03	0,05	8,26
7,59	8,92	6,27	0,07	7,75	0,07	8,17	0,07	10,13	0,07	7,16	0,07	11,56	0,07	7,39	0,07	5,31	0,07	7,50	0,07	15,49	0,07	6,68	0,07	8,84	0,07	8,18	0,07	7,66	0,07	8,57	0,07	6,81	0,07	8,03	0,07	7,83	0,07	7,51	0,07	10,45	0,07	11,03	0,07	9,00	0,07	8,82	0,07	6,06	0,07	8,51	0,07	6,54	0,07	7,41	0,07	8,68	0,07	9,40	0,07	9,33	0,07	8,03	0,07	8,27
7,59	8,91	6,27	0,08	7,76	0,08	8,17	0,08	10,13	0,08	7,16	0,08	11,58	0,08	7,39	0,08	5,31	0,08	7,49	0,08	15,46	0,08	6,68	0,08	8,84	0,08	8,18	0,08	7,65	0,08	8,56	0,08	6,81	0,08	8,02	0,08	7,83	0,08	7,51	0,08	10,45	0,08	11,03	0,08	9,00	0,08	8,82	0,08	6,07	0,08	8,51	0,08	6,54	0,08	7,41	0,08	8,69	0,08	9,40	0,08	9,34	0,08	8,04	0,08	8,27
7,59	8,91	6,27	0,10	7,77	0,10	8,17	0,10	10,13	0,10	7,17	0,10	11,59	0,10	7,39	0,10	5,31	0,10	7,48	0,10	15,43	0,10	6,67	0,10	8,84	0,10	8,19	0,10	7,65	0,10	8,56	0,10	6,81	0,10	8,02	0,10	7,82	0,10	7,52	0,10	10,45	0,10	11,03	0,10	9,00	0,10	8,82	0,10	6,08	0,10	8,51	0,10	6,54	0,10	7,41	0,10	8,70	0,10	9,39	0,10	9,35	0,10	8,04	0,10	8,28
7,58	8,90	6,26	0,12	7,77	0,12	8,18	0,12	10,13	0,12	7,17	0,12	11,61	0,12	7,39	0,12	5,31	0,12	7,47	0,12	15,39	0,12	6,67	0,12	8,83	0,12	8,19	0,12	7,65	0,12	8,55	0,12	6,81	0,12	8,01	0,12	7,82	0,12	7,52	0,12	10,45	0,12	11,03	0,12	8,99	0,12	8,82	0,12	6,08	0,12	8,51	0,12	6,54	0,12	7,41	0,12	8,71	0,12	9,39	0,12	9,37	0,12	8,05	0,12	8,28
7,58	8,89	6,26	0,13	7,77	0,13	8,18	0,13	10,13	0,13	7,17	0,13	11,63	0,13	7,39	0,13	5,31	0,13	7,45	0,13	15,36	0,13	6,66	0,13	8,83	0,13	8,20	0,13	7,65	0,13	8,54	0,13	6,81	0,13	8,00	0,13	7,81	0,13	7,53	0,13	10,45	0,13	11,03	0,13	8,98	0,13	8,82	0,13	6,09	0,13	8,51	0,13	6,54	0,13	7,41	0,13	8,72	0,13	9,38	0,13	9,39	0,13	8,06	0,13	8,29
7,57	8,89	6,25	0,15	7,78	0,15	8,19	0,15	10,13	0,15	7,18	0,15	11,65	0,15	7,39	0,15	5,29	0,15	7,44	0,15	15,32	0,15	6,66	0,15	8,81	0,15	8,20	0,15	7,65	0,15	8,53	0,15	6,81	0,15	7,98	0,15	7,81	0,15	7,53	0,15	10,45	0,15	11,03	0,15	8,98	0,15	8,82	0,15	6,10	0,15	8,51	0,15	6,54	0,15	7,41	0,15	8,73	0,15	9,38	0,15	9,41	0,15	8,07	0,15	8,30
