Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
10,79	14,52	7,05	0,00	15,26	0,00	9,81	0,00	13,83	0,00	8,48	0,00	17,39	0,00	8,81	0,00	8,03	0,00	9,23	0,00	18,62	0,00	7,69	0,00	12,99	0,00	9,83	0,00	10,88	0,00	12,64	0,00	8,17	0,00	16,30	0,00	6,69	0,00	15,79	0,00	19,30	0,00	19,45	0,00	10,38	0,00	11,26	0,00	7,72	0,00	19,80	0,00	17,34	0,00	11,87	0,00	23,14	0,00	14,10	0,00	14,32	0,00	11,66	0,00	12,14
10,79	14,52	7,05	0,02	15,25	0,02	9,81	0,02	13,83	0,02	8,48	0,02	17,39	0,02	8,81	0,02	8,03	0,02	9,24	0,02	18,61	0,02	7,69	0,02	13,00	0,02	9,83	0,02	10,88	0,02	12,64	0,02	8,17	0,02	16,30	0,02	6,69	0,02	15,79	0,02	19,30	0,02	19,45	0,02	10,38	0,02	11,26	0,02	7,72	0,02	19,80	0,02	17,34	0,02	11,87	0,02	23,14	0,02	14,10	0,02	14,32	0,02	11,66	0,02	12,14
10,79	14,52	7,06	0,03	15,25	0,03	9,81	0,03	13,83	0,03	8,48	0,03	17,39	0,03	8,81	0,03	8,03	0,03	9,24	0,03	18,61	0,03	7,69	0,03	13,00	0,03	9,80	0,03	10,88	0,03	12,64	0,03	8,17	0,03	16,30	0,03	6,70	0,03	15,79	0,03	19,30	0,03	19,45	0,03	10,38	0,03	11,26	0,03	7,72	0,03	19,79	0,03	17,34	0,03	11,87	0,03	23,14	0,03	14,10	0,03	14,34	0,03	11,67	0,03	12,15
10,79	14,52	7,05	0,05	15,25	0,05	9,81	0,05	13,83	0,05	8,48	0,05	17,40	0,05	8,81	0,05	8,02	0,05	9,24	0,05	18,60	0,05	7,70	0,05	13,01	0,05	9,78	0,05	10,88	0,05	12,63	0,05	8,17	0,05	16,30	0,05	6,70	0,05	15,80	0,05	19,30	0,05	19,45	0,05	10,39	0,05	11,26	0,05	7,72	0,05	19,79	0,05	17,34	0,05	11,87	0,05	23,14	0,05	14,11	0,05	14,36	0,05	11,68	0,05	12,16
10,79	14,52	7,05	0,07	15,24	0,07	9,81	0,07	13,83	0,07	8,48	0,07	17,41	0,07	8,80	0,07	8,02	0,07	9,24	0,07	18,60	0,07	7,70	0,07	12,95	0,07	9,75	0,07	10,87	0,07	12,63	0,07	8,17	0,07	16,30	0,07	6,70	0,07	15,80	0,07	19,30	0,07	19,45	0,07	10,40	0,07	11,26	0,07	7,72	0,07	19,79	0,07	17,35	0,07	11,87	0,07	23,13	0,07	14,11	0,07	14,38	0,07	11,69	0,07	12,18
10,79	14,52	7,06	0,08	15,21	0,08	9,81	0,08	13,82	0,08	8,48	0,08	17,42	0,08	8,80	0,08	8,01	0,08	9,24	0,08	18,59	0,08	7,71	0,08	12,90	0,08	9,73	0,08	10,87	0,08	12,62	0,08	8,17	0,08	16,30	0,08	6,72	0,08	15,80	0,08	19,30	0,08	19,46	0,08	10,40	0,08	11,26	0,08	7,72	0,08	19,78	0,08	17,35	0,08	11,87	0,08	23,13	0,08	14,11	0,08	14,42	0,08	11,71	0,08	12,20
10,79	14,52	7,06	0,10	15,19	0,10	9,81	0,10	13,82	0,10	8,48	0,10	17,44	0,10	8,80	0,10	8,00	0,10	9,24	0,10	18,58	0,10	7,72	0,10	12,84	0,10	9,71	0,10	10,82	0,10	12,61	0,10	8,17	0,10	16,30	0,10	6,73	0,10	15,81	0,10	19,30	0,10	19,47	0,10	10,41	0,10	11,27	0,10	7,72	0,10	19,77	0,10	17,36	0,10	11,87	0,10	23,12	0,10	14,12	0,10	14,46	0,10	11,73	0,10	12,23
10,79	14,52	7,06	0,12	15,16	0,12	9,80	0,12	13,81	0,12	8,48	0,12	17,46	0,12	8,79	0,12	8,00	0,12	9,25	0,12	18,56	0,12	7,73	0,12	12,79	0,12	9,69	0,12	10,78	0,12	12,60	0,12	8,18	0,12	16,29	0,12	6,74	0,12	15,81	0,12	19,31	0,12	19,47	0,12	10,41	0,12	11,28	0,12	7,73	0,12	19,76	0,12	17,37	0,12	11,88	0,12	23,11	0,12	14,12	0,12	14,52	0,12	11,76	0,12	12,26
10,79	14,52	7,06	0,13	15,13	0,13	9,80	0,13	13,81	0,13	8,48	0,13	17,48	0,13	8,79	0,13	7,98	0,13	9,25	0,13	18,55	0,13	7,72	0,13	12,74	0,13	9,67	0,13	10,74	0,13	12,58	0,13	8,18	0,13	16,29	0,13	6,76	0,13	15,82	0,13	19,32	0,13	19,48	0,13	10,42	0,13	11,29	0,13	7,73	0,13	19,75	0,13	17,38	0,13	11,88	0,13	23,10	0,13	14,13	0,13	14,58	0,13	11,79	0,13	12,30
10,79	14,52	7,06	0,15	15,09	0,15	9,80	0,15	13,81	0,15	8,47	0,15	17,50	0,15	8,78	0,15	7,97	0,15	9,26	0,15	18,53	0,15	7,72	0,15	12,69	0,15	9,65	0,15	10,70	0,15	12,56	0,15	8,18	0,15	16,29	0,15	6,78	0,15	15,83	0,15	19,33	0,15	19,49	0,15	10,42	0,15	11,30	0,15	7,73	0,15	19,74	0,15	17,39	0,15	11,88	0,15	23,09	0,15	14,14	0,15	14,65	0,15	11,83	0,15	12,34
